rank,global_rank,season,player_name,team,position,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
80,2888,2025-26,"Anderson,Cedric",Anderson,F,Heartland Collegiate Athletic Conference (HCAC),hcac,25,11.6,2.72,2.48,0.56,0.72,0.04,0.48,-2.971812834808679,57
81,2891,2025-26,"Kidwell,Landon",Mount St. Joseph,F,Heartland Collegiate Athletic Conference (HCAC),hcac,22,12.454545454545457,2.64,2.14,0.64,0.23,0.55,0.5454545454545454,-2.9742323604255514,57
82,3100,2025-26,"Miller,Braden",Mount St. Joseph,F,Heartland Collegiate Athletic Conference (HCAC),hcac,11,13.181818181818182,3.0,2.0,0.82,0.09,0.27,0.7272727272727273,-3.4594408301595245,54
83,3115,2025-26,"Hamm,Anthony",Berea,G,Heartland Collegiate Athletic Conference (HCAC),hcac,26,13.153846153846152,4.23,1.54,0.62,0.31,0.0,0.8461538461538461,-3.5021558454006785,54
84,3210,2025-26,"Moss,Tyler",Berea,G,Heartland Collegiate Athletic Conference (HCAC),hcac,26,12.423076923076923,2.08,1.62,1.27,0.88,0.04,1.2692307692307692,-3.8039581593222143,52
85,3219,2025-26,"Makabu,Travis",Earlham,G,Heartland Collegiate Athletic Conference (HCAC),hcac,25,16.68,2.2,1.64,1.0,0.32,0.08,0.72,-3.8144676408901494,52
86,3231,2025-26,"Walbert,J.C.",Transylvania,,Heartland Collegiate Athletic Conference (HCAC),hcac,28,11.928571428571429,2.79,1.39,1.11,0.32,0.11,1.0,-3.856925224783189,52
87,3279,2025-26,"Kolbay,Jake",Earlham,G,Heartland Collegiate Athletic Conference (HCAC),hcac,21,12.142857142857142,3.48,0.71,0.33,0.19,0.05,0.5238095238095238,-4.002529687280424,51
88,3346,2025-26,"Murphy,Jack",Rose-Hulman,F,Heartland Collegiate Athletic Conference (HCAC),hcac,21,11.0,1.48,1.86,0.43,0.57,0.1,0.9047619047619048,-4.359882629602373,50
89,3364,2025-26,"Kobe,Jason",Manchester,G,Heartland Collegiate Athletic Conference (HCAC),hcac,18,10.833333333333334,1.89,1.33,0.5,0.11,0.06,0.7222222222222222,-4.632884443059423,50
90,3373,2025-26,"Paul,Marcos",Earlham,F,Heartland Collegiate Athletic Conference (HCAC),hcac,18,10.944444444444445,1.06,1.5,0.28,0.11,0.39,0.9444444444444444,-4.89584768728042,50
