rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
76,2648,Hudson Hochstedler,Saint John's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,15.461538461538462,4.38,2.04,0.88,0.5,0.04,0.5,-2.4506784544578974,60
77,2714,"Franson,Alex",Concordia,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,18.555555555555557,4.0,1.81,1.74,0.78,0.11,1.2592592592592593,-2.601546435958996,59
78,2806,"DeDominces,Jake",Hamline,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,11.36,6.4,1.04,0.44,0.28,0.0,0.76,-2.8136758569346583,58
79,2821,"Holecek,Camden",Hamline,Minnesota Intercollegiate Athletic Conference (MIAC),miac,15,13.933333333333334,4.47,1.6,0.47,0.67,0.0,0.6,-2.8416650018521428,58
80,2830,"Buslee,Max",Gustavus,Minnesota Intercollegiate Athletic Conference (MIAC),miac,26,12.76923076923077,4.46,1.12,0.58,0.38,0.04,0.3076923076923077,-2.849858197982706,57
81,2850,"Kamara,Abraham",Saint Mary's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,16,16.8125,4.5,1.25,2.5,0.94,0.0,2.0,-2.8971577920397755,57
82,2862,"Myer,Lucas",Macalester,Minnesota Intercollegiate Athletic Conference (MIAC),miac,18,16.72222222222222,3.56,2.11,0.83,0.22,0.17,0.5,-2.9184887638945813,57
83,2869,"Kaul,AJ",Bethel,Minnesota Intercollegiate Athletic Conference (MIAC),miac,22,16.272727272727273,4.86,1.05,0.77,0.23,0.09,0.5454545454545454,-2.9308542923653453,57
84,2887,"Randle,Jamal",Macalester,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,10.8,5.24,1.44,0.76,0.44,0.0,0.92,-2.9682353715993517,57
85,2915,"Donaldson,Brock",Hamline,Minnesota Intercollegiate Athletic Conference (MIAC),miac,23,12.608695652173912,3.83,1.39,1.26,0.3,0.09,0.6956521739130435,-3.015672369658891,56
86,2927,"Wohlers,Josh",Saint Mary's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,21.64,3.68,2.36,0.68,0.32,0.12,0.68,-3.0484983397655716,56
87,2930,"Hussherr,Julien",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,27,16.25925925925926,3.41,1.3,1.44,0.48,0.0,0.7037037037037037,-3.050510130254799,56
88,2993,"Matti,Isaac",Gustavus,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,14.96,2.28,2.32,0.68,0.44,0.08,0.32,-3.181370044397952,55
89,3039,"Rosendahl,Caleb",Bethel,Minnesota Intercollegiate Athletic Conference (MIAC),miac,25,17.24,2.24,2.88,1.6,0.36,0.04,1.04,-3.324044052946584,55
90,3047,"Raymond,Ben",St. Scholastica,Minnesota Intercollegiate Athletic Conference (MIAC),miac,11,13.363636363636363,1.82,2.09,0.55,0.45,0.27,0.3636363636363636,-3.3389521790908168,54
91,3075,"Mickelson,Sam",Augsburg,Minnesota Intercollegiate Athletic Conference (MIAC),miac,10,11.4,3.9,2.8,0.4,0.4,0.2,1.2,-3.3920838171776495,54
92,3175,"Carlson,Cooper",St. Olaf,Minnesota Intercollegiate Athletic Conference (MIAC),miac,21,10.38095238095238,2.86,1.43,0.48,0.57,0.0,0.6190476190476191,-3.700344958685435,53
93,3177,"Norsman,George",Carleton,Minnesota Intercollegiate Athletic Conference (MIAC),miac,23,10.347826086956522,4.39,1.43,0.39,0.09,0.17,0.9130434782608696,-3.703646791012763,53
94,3189,"Roche,Liam",St. Olaf,Minnesota Intercollegiate Athletic Conference (MIAC),miac,22,15.545454545454543,3.59,1.77,1.23,0.09,0.14,1.2272727272727273,-3.749046394454459,53
95,3191,"Hill,Mitchell",Saint Mary's,Minnesota Intercollegiate Athletic Conference (MIAC),miac,16,10.6875,3.13,1.19,0.63,0.38,0.06,0.6875,-3.759505226143121,53
96,3308,"Schradle,JT",Bethel,Minnesota Intercollegiate Athletic Conference (MIAC),miac,13,12.076923076923077,2.46,1.92,0.92,0.08,0.15,1.0,-4.124259717385544,51
97,3316,"Weber,Andrew",Carleton,Minnesota Intercollegiate Athletic Conference (MIAC),miac,21,11.38095238095238,1.29,1.24,0.86,0.33,0.0,0.3809523809523809,-4.148070799582286,51
98,3338,"Harris,Paul",St. Scholastica,Minnesota Intercollegiate Athletic Conference (MIAC),miac,20,13.35,2.6,1.45,0.4,0.3,0.05,0.8,-4.267415653228723,51
99,3374,"Karels,Kobe",St. Scholastica,Minnesota Intercollegiate Athletic Conference (MIAC),miac,10,11.2,0.9,0.7,0.2,0.8,0.2,1.0,-4.9231049898715735,50
