rank,global_rank,player_name,team,conference,conference_code,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,rating
69,2617,"Daterao,Neil",Union,Liberty League (LL),ll,22,15.863636363636363,3.14,3.23,0.86,0.32,0.18,0.3636363636363636,-2.4096098550895197,60
70,2654,"Daphnis,Hakeem",Skidmore,Liberty League (LL),ll,26,19.153846153846153,4.0,2.0,0.81,1.04,0.12,0.8846153846153846,-2.465060350261605,60
71,2701,"Toscano,Matt",Clarkson,Liberty League (LL),ll,25,16.96,3.8,2.04,1.6,0.48,0.12,0.88,-2.556573529006483,59
72,2744,"Wissink,Cole",Ithaca,Liberty League (LL),ll,26,20.76923076923077,3.58,1.81,0.65,0.92,0.23,0.7692307692307693,-2.665583288055288,59
73,2769,"Lutz,Niko",Hobart,Liberty League (LL),ll,25,11.68,3.8,2.2,0.4,0.28,0.48,0.6,-2.725424728075341,58
74,2790,"Price,Justin",Hobart,Liberty League (LL),ll,25,23.12,2.36,2.52,2.6,0.32,0.2,1.24,-2.7843717639350976,58
75,2791,"Smith,Blake",RPI,Liberty League (LL),ll,24,12.666666666666666,2.67,1.92,1.0,1.0,0.29,0.9166666666666666,-2.7850107439526957,58
76,2829,"Maxam,Tyson",Clarkson,Liberty League (LL),ll,25,14.32,5.32,1.92,0.88,0.44,0.08,1.16,-2.8497214396881563,57
77,2924,"Smith,Nolan",RIT,Liberty League (LL),ll,25,15.44,2.32,2.76,0.56,0.32,0.56,0.72,-3.037547861317879,56
78,3010,"Gregory,Will",Vassar,Liberty League (LL),ll,25,11.56,4.16,1.08,0.6,0.36,0.04,0.52,-3.238266287828066,55
79,3018,"Regev,Yoav",Ithaca,Liberty League (LL),ll,22,12.363636363636363,3.45,2.09,0.5,0.23,0.27,0.6818181818181818,-3.2611422177717855,55
80,3038,"Cohen,Danny",RIT,Liberty League (LL),ll,23,15.130434782608695,3.17,1.52,1.09,0.39,0.09,0.7391304347826086,-3.3234898752703836,55
81,3076,"Cullinan,Pat",Union,Liberty League (LL),ll,22,10.409090909090908,3.36,1.32,0.64,0.5,0.05,0.5909090909090909,-3.392444513476772,54
82,3088,"Zampoukas,Dimitrios",Bard,Liberty League (LL),ll,25,14.48,1.88,2.36,0.84,0.52,0.6,1.16,-3.4239399791194756,54
83,3104,"Ameden,Will",Skidmore,Liberty League (LL),ll,25,11.16,2.52,2.08,0.44,0.48,0.08,0.48,-3.4684156035909597,54
84,3107,"Yakoobian,Will",Union,Liberty League (LL),ll,19,11.105263157894736,2.16,2.95,0.58,0.26,0.0,0.4210526315789473,-3.4734577671778046,54
85,3111,"Parkes,Connor",St. Lawrence,Liberty League (LL),ll,25,14.08,3.92,1.36,0.4,0.52,0.04,0.76,-3.4870936878310665,54
86,3134,"Rappa,Ben",Clarkson,Liberty League (LL),ll,24,10.291666666666666,1.38,1.25,0.63,0.71,0.17,0.2916666666666667,-3.559791631711331,53
87,3159,"Zhang,Eric",Vassar,Liberty League (LL),ll,26,10.0,2.62,1.12,0.46,0.5,0.12,0.4615384615384615,-3.662022391523873,53
88,3220,"Weisberg,Charlie",Skidmore,Liberty League (LL),ll,25,10.68,3.56,1.56,0.48,0.0,0.0,0.52,-3.814660779128958,52
89,3232,"Brady,Laurence",Ithaca,Liberty League (LL),ll,25,11.4,1.76,0.84,0.56,0.36,0.12,0.16,-3.8579187148552503,52
90,3247,"Carey,Jackson",Hobart,Liberty League (LL),ll,23,10.347826086956522,2.74,1.74,1.09,0.26,0.04,1.0,-3.91776520414019,52
91,3259,"Skehel,Klaudius",Bard,Liberty League (LL),ll,25,17.84,3.52,1.8,1.4,0.24,0.04,1.52,-3.964557898488223,52
