conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating
e8,Empire 8 (E8),2025-26,softball,St. John Fisher,Spitz Mari,,,,43,43,120.0,31.0,44.0,50.0,12.0,0.0,13.0,13.0,0.0,3.0,9.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.441,95.0,138.0,0.0,0.0,0.367,0.792,256.0,20.0,3.0,5.0,0.0,26.0,11.0,2.0,0.0,279.0,0.989,37.0,0.703,3.0,7.0,27.0,39.0,"11,35",0.31,11.0,35.0,"29,74",0.39,29.0,74.0,"20,50",0.4,20.0,50.0,"2,4",0.5,2.0,4.0,0,0.0,0.0,0.0,"8,18","8,14","49,83",119,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.439921268991933,27,95
pac,Presidents Athletic Conference (PAC),2025-26,softball,Geneva,Julia Hart,,,,46,46,153.0,40.0,57.0,49.0,13.0,1.0,11.0,9.0,0.0,4.0,20.0,6.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,105.0,167.0,7.0,1.0,0.373,0.686,319.0,13.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,337.0,0.985,0.0,0.0,8.0,6.0,25.0,43.0,"20,61",0.33,20.0,61.0,"35,104",0.34,35.0,104.0,"26,70",0.37,26.0,70.0,"2,6",0.33,2.0,6.0,0,0.0,0.0,0.0,"13,25","14,17","56,111",29,0.0,0.0,0.0,3,0.0,0.0,0.0,9.0,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.430452692607211,28,95
oac,Ohio Athletic Conference (OAC),2025-26,softball,Heidelberg,Gabbie Stallbaum,,,,36,36,109.0,43.0,48.0,47.0,10.0,4.0,12.0,24.0,1.0,1.0,16.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,102.0,135.0,2.0,1.0,0.44,0.936,44.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,0.959,0.0,0.0,4.0,0.0,10.0,33.0,"19,33",0.58,19.0,33.0,"29,59",0.49,29.0,59.0,"19,38",0.5,19.0,38.0,"2,9",0.22,2.0,9.0,0,0.0,0.0,0.0,"8,26","9,14","46,70",12,0.0,0.0,0.0,"1,1",1.0,1.0,1.0,8.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.352141410528397,29,95
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Virginia Wesleyan,Morgan Tucker,,,,55,51,155.0,37.0,74.0,76.0,15.0,5.0,5.0,11.0,0.0,0.0,8.0,5.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,114.0,171.0,7.0,0.857,0.477,0.735,95.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,102.0,0.99,0.0,0.0,10.0,4.0,25.0,43.0,"20,43",0.47,20.0,43.0,"45,92",0.49,45.0,92.0,"39,79",0.49,39.0,79.0,"9,15",0.6,9.0,15.0,0,0.0,0.0,0.0,"18,34","25,31","73,101",376,0.0,0.0,0.0,169,0.0,0.0,0.0,22.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.272890792552948,30,95
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,softball,Redlands,Paige Messenlehner,,,,55,55,183.0,59.0,69.0,39.0,12.0,5.0,4.0,10.0,0.0,16.0,7.0,4.0,39.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,103.0,214.0,43.0,0.907,0.377,0.563,86.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.989,0.0,0.0,6.0,6.0,33.0,74.0,"19,51",0.37,19.0,51.0,"36,77",0.47,36.0,77.0,"24,56",0.43,24.0,56.0,"2,5",0.4,2.0,5.0,0,0.0,0.0,0.0,"31,81","14,16","59,91",116,0.0,0.0,0.0,0,0.0,0.0,0.0,13.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2347249701209,31,95
arc,American Rivers Conference (ARC),2025-26,softball,Simpson,Ashlyn Steen,,,,43,43,147.0,66.0,72.0,34.0,12.0,5.0,5.0,15.0,0.0,7.0,9.0,3.0,29.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,109.0,173.0,32.0,0.906,0.49,0.741,45.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,0.979,0.0,0.0,6.0,8.0,30.0,30.0,"21,38",0.55,21.0,38.0,"31,66",0.47,31.0,66.0,"18,43",0.42,18.0,43.0,"3,8",0.38,3.0,8.0,0.0,0.0,0.0,0.0,"41,65","7,9","50,76",96,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.113231071638204,32,95
nwc,Northwest Conference (NWC),2025-26,softball,Pacific Lutheran ,Zoe Smithson,,,,42,42,140.0,43.0,58.0,50.0,17.0,4.0,8.0,16.0,1.0,0.0,13.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,107.0,157.0,13.0,1.0,0.414,0.764,70.0,4.0,2.0,4.0,0.0,7.0,1.0,0.0,0.0,76.0,0.974,8.0,0.875,5.0,4.0,22.0,42.0,"19,40",0.48,19.0,40.0,"38,82",0.46,38.0,82.0,"28,58",0.48,28.0,58.0,"4,6",0.67,4.0,6.0,0,0.0,0.0,0.0,"9,19","8,13","52,85",34,0.0,0.0,0.0,0,0.0,0.0,0.0,13.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.910579055965414,33,95
odac,Old Dominion Athletic Conference (ODAC),2025-26,softball,Virginia Wesleyan,Laci Campbell,,,,56,56,149.0,69.0,58.0,33.0,4.0,3.0,2.0,25.0,0.0,11.0,5.0,4.0,52.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.497,74.0,190.0,53.0,0.981,0.389,0.497,82.0,72.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,156.0,0.987,0.0,0.0,2.0,14.0,37.0,49.0,"20,51",0.39,20.0,51.0,"31,88",0.35,31.0,88.0,"22,62",0.35,22.0,62.0,"2,12",0.17,2.0,12.0,0,0.0,0.0,0.0,"9,24","19,29","60,103",56,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.806787849671553,34,95
usa_south_athletic_confe,USA South Athletic Conference,2025-26,softball,Mary Baldwin,Hadley May,,,,39,39,112.0,25.0,52.0,50.0,10.0,0.0,11.0,29.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.566,95.0,143.0,0.0,0.0,0.464,0.848,95.0,13.0,7.0,0.0,0.0,20.0,6.0,0.0,0.0,115.0,0.939,26.0,0.769,5.0,1.0,18.0,34.0,"18,45",0.4,18.0,45.0,"41,82",0.5,41.0,82.0,"17,45",0.38,17.0,45.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,"15,25","12,16","67,97",33,0.0,0.0,0.0,2,0.0,0.0,0.0,11.0,27.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.771211539336973,35,95
ncac,North Coast Athletic Conference (NCAC),2025-26,softball,Denison,Calderon Annabelle,,,,39,39,120.0,41.0,55.0,39.0,20.0,1.0,11.0,14.0,1.0,10.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549,110.0,144.0,2.0,1.0,0.458,0.917,161.0,15.0,3.0,1.0,0.0,28.0,7.0,2.0,0.0,179.0,0.983,35.0,0.8,3.0,3.0,17.0,32.0,"11,30",0.37,11.0,30.0,"30,69",0.43,30.0,69.0,"17,40",0.43,17.0,40.0,"2,9",0.22,2.0,9.0,0,0.0,0.0,0.0,"15,22","7,11","51,82",14,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.723902379151166,36,95
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,softball,Trine,Emma Lee,,,,52,52,151.0,48.0,55.0,39.0,9.0,2.0,6.0,13.0,0.0,10.0,11.0,5.0,33.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.443,86.0,176.0,33.0,1.0,0.364,0.57,64.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,65.0,1.0,0.0,0.0,6.0,8.0,28.0,51.0,"16,47",0.34,16.0,47.0,"30,79",0.38,30.0,79.0,"19,52",0.37,19.0,52.0,"5,6",0.83,5.0,6.0,0,0.0,0.0,0.0,"14,32","10,13","48,88",13,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.691800166560649,37,95
aec,Atlantic East Conference (AEC),2025-26,softball,Marymount (VA),Kaylynn Johnson,,,,44,44,135.0,44.0,61.0,42.0,15.0,2.0,8.0,22.0,1.0,4.0,4.0,0.0,10.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,104.0,164.0,12.0,0.833,0.452,0.77,45.0,91.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,145.0,0.938,0.0,0.0,7.0,9.0,22.0,44.0,"21,53",0.4,21.0,53.0,"38,80",0.48,38.0,80.0,"23,57",0.4,23.0,57.0,"1,4",0.25,1.0,4.0,0.0,0.0,0.0,0.0,"15,23","9,15","56,87",35,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.678650476775047,38,95
njac,New Jersey Athletic Conference (NJAC),2025-26,softball,Rowan,Liz McCaffery,,,,53,53,179.0,66.0,76.0,27.0,15.0,6.0,5.0,22.0,1.0,3.0,12.0,7.0,27.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.49,118.0,206.0,31.0,0.871,0.425,0.659,122.0,78.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,202.0,0.99,0.0,0.0,8.0,4.0,28.0,57.0,"19,48",0.4,19.0,48.0,"27,71",0.38,27.0,71.0,"16,45",0.36,16.0,45.0,"8,26",0.31,8.0,26.0,0.0,0.0,0.0,0.0,"55,93","6,10","39,78",51,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.646081951824586,39,95
e8,Empire 8 (E8),2025-26,softball,Alfred,Molly Whitmy,,,,43,43,135.0,33.0,60.0,52.0,14.0,1.0,9.0,13.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.483,103.0,151.0,3.0,1.0,0.444,0.763,222.0,9.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,232.0,0.996,0.0,0.0,4.0,7.0,26.0,38.0,"17,51",0.33,17.0,51.0,"37,80",0.46,37.0,80.0,"26,58",0.45,26.0,58.0,"6,14",0.43,6.0,14.0,0,0.0,0.0,0.0,"7,16","18,24","53,86",52,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.633697826308852,40,94
e8,Empire 8 (E8),2025-26,softball,Nazareth,Morgan Russo,,,,36,35,119.0,46.0,56.0,34.0,16.0,1.0,10.0,10.0,0.0,2.0,9.0,1.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.507,104.0,134.0,8.0,0.875,0.471,0.874,209.0,6.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,220.0,0.977,0.0,0.0,9.0,2.0,23.0,25.0,"9,26",0.35,9.0,26.0,"20,39",0.51,20.0,39.0,"15,25",0.6,15.0,25.0,"2,4",0.5,2.0,4.0,0,0.0,0.0,0.0,"29,51","9,10","30,44",121,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.633188513433488,41,94
mwc,Midwest Conference (MWC),2025-26,softball,Lake Forest,Cadence Dempsey,,,,45,45,132.0,40.0,47.0,40.0,12.0,5.0,10.0,12.0,0.0,0.0,16.0,2.0,14.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.407,99.0,149.0,17.0,0.824,0.356,0.75,48.0,91.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,146.0,0.952,0.0,0.0,2.0,3.0,19.0,51.0,"10,31",0.32,10.0,31.0,"26,69",0.38,26.0,69.0,"17,44",0.39,17.0,44.0,"8,18",0.44,8.0,18.0,0,0.0,0.0,0.0,"7,16","10,15","38,75",68,0.0,0.0,0.0,0,0.0,0.0,0.0,10.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.622555482667194,42,94
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,softball,Trine,Macy Rocha,,,,51,51,152.0,33.0,58.0,50.0,10.0,1.0,10.0,21.0,0.0,1.0,22.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46,100.0,174.0,3.0,1.0,0.382,0.658,35.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.933,0.0,0.0,5.0,4.0,29.0,39.0,"27,73",0.37,27.0,73.0,"33,89",0.37,33.0,89.0,"25,68",0.37,25.0,68.0,"5,6",0.83,5.0,6.0,0,0.0,0.0,0.0,"11,24","11,15","52,94",82,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,59.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.546941378188556,43,94
asc,American Southwest Conference (ASC),2025-26,softball,East Texas Baptist,Tauryn Cummings,,,,48,48,134.0,27.0,42.0,41.0,7.0,1.0,12.0,24.0,0.0,6.0,12.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.439,87.0,164.0,5.0,1.0,0.313,0.649,28.0,84.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,116.0,0.966,0.0,0.0,3.0,7.0,39.0,37.0,"16,44",0.36,16.0,44.0,"27,81",0.33,27.0,81.0,"19,64",0.3,19.0,64.0,"4,14",0.29,4.0,14.0,0.0,0.0,0.0,0.0,"13,33","9,23","54,92",8,0.0,0.0,0.0,1,0.0,0.0,0.0,13.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.455728191442688,44,94
centennial_conference,Centennial Conference,2025-26,softball,Swarthmore,Olivia Mcclammy,,,,46,46,139.0,45.0,52.0,56.0,14.0,1.0,7.0,21.0,0.0,6.0,8.0,2.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.465,89.0,170.0,6.0,1.0,0.374,0.64,287.0,16.0,4.0,6.0,0.0,19.0,3.0,9.0,0.0,307.0,0.987,22.0,0.864,2.0,5.0,22.0,58.0,"10,47",0.21,10.0,47.0,"43,94",0.46,43.0,94.0,"29,57",0.51,29.0,57.0,"6,20",0.3,6.0,20.0,0.0,0.0,0.0,0.0,"4,18","18,25","67,111",130,0.0,0.0,0.0,"1,1",1.0,1.0,1.0,11.0,29.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.439876925241395,45,94
saa,Southern Athletic Association (SAA),2025-26,softball,Berry,Lauren Cothe,,,,43,41,133.0,34.0,52.0,38.0,9.0,1.0,11.0,8.0,0.0,1.0,8.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.421,96.0,145.0,2.0,0.5,0.391,0.722,206.0,7.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,219.0,0.973,0.0,0.0,5.0,8.0,25.0,40.0,"10,38",0.26,10.0,38.0,"29,80",0.36,29.0,80.0,"20,51",0.39,20.0,51.0,"3,8",0.38,3.0,8.0,0,0.0,0.0,0.0,"19,30","9,15","44,83",14,0.0,0.0,0.0,"1,1",1.0,1.0,1.0,12.0,31.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.376398038057195,46,94
ll,Liberty League (LL),2025-26,softball,Rochester,Riley Laygo,,,,37,37,125.0,39.0,49.0,35.0,17.0,1.0,10.0,9.0,2.0,1.0,14.0,4.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.437,98.0,136.0,15.0,0.867,0.392,0.784,57.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,63.0,0.968,0.0,0.0,7.0,9.0,28.0,28.0,"15,36",0.42,15.0,36.0,"26,61",0.43,26.0,61.0,"16,38",0.42,16.0,38.0,"3,12",0.25,3.0,12.0,0,0.0,0.0,0.0,"13,29","5,9","40,64",59,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.364524227570659,47,94
mwc,Midwest Conference (MWC),2025-26,softball,Lawrence,Mattigan Haller,,,,40,40,124.0,36.0,45.0,43.0,9.0,2.0,10.0,15.0,0.0,1.0,12.0,3.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.43,88.0,142.0,6.0,0.667,0.363,0.71,129.0,16.0,2.0,8.0,0.0,36.0,7.0,1.0,0.0,147.0,0.986,43.0,0.837,2.0,9.0,23.0,45.0,"13,29",0.45,13.0,29.0,"35,78",0.45,35.0,78.0,"19,38",0.5,19.0,38.0,"4,9",0.44,4.0,9.0,0,0.0,0.0,0.0,"3,18","7,10","54,89",59,0.0,0.0,0.0,0,0.0,0.0,0.0,9.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.118699341375192,48,94
mac,Middle Atlantic Conferences (MAC),2025-26,softball,Messiah,Schlabach Kandice,,,,50,50,150.0,39.0,57.0,45.0,10.0,3.0,9.0,22.0,0.0,0.0,18.0,8.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,100.0,177.0,2.0,1.0,0.38,0.667,99.0,88.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,194.0,0.964,0.0,0.0,4.0,3.0,29.0,46.0,"21,54",0.39,21.0,54.0,"43,95",0.45,43.0,95.0,"28,65",0.43,28.0,65.0,"3,4",0.75,3.0,4.0,"2,4",0.5,2.0,4.0,"17,38","12,19","62,103",33,0.0,0.0,0.0,0,0.0,0.0,0.0,26.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.077917143990714,49,94
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,softball,Blackburn,Kenadee Frey,,,,39,39,116.0,33.0,53.0,32.0,8.0,2.0,10.0,12.0,0.0,2.0,9.0,3.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.511,95.0,131.0,10.0,0.9,0.457,0.819,72.0,61.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,140.0,0.95,0.0,0.0,6.0,3.0,13.0,36.0,"20,43",0.47,20.0,43.0,"29,65",0.45,29.0,65.0,"12,30",0.4,12.0,30.0,"4,9",0.44,4.0,9.0,0.0,0.0,0.0,0.0,"10,19","4,6","42,72",67,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.023601405748256,50,94
usa_south_athletic_confe,USA South Athletic Conference,2025-26,softball,William Peace,Adanya Day,,,,40,40,121.0,32.0,52.0,40.0,9.0,0.0,10.0,18.0,2.0,3.0,11.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.51,91.0,144.0,0.0,0.0,0.43,0.752,31.0,76.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.93,0.0,0.0,5.0,2.0,31.0,24.0,"13,29",0.45,13.0,29.0,"32,67",0.48,32.0,67.0,"18,38",0.47,18.0,38.0,"5,11",0.45,5.0,11.0,0,0.0,0.0,0.0,"12,24","8,11","50,77",23,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.847801261361887,51,94
nwc,Northwest Conference (NWC),2025-26,softball,Linfield,"Sain, Meara",,,,45,45,159.0,53.0,67.0,35.0,15.0,0.0,6.0,11.0,0.0,2.0,7.0,4.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.462,100.0,175.0,9.0,1.0,0.421,0.629,57.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.983,0.0,0.0,5.0,6.0,35.0,46.0,"17,36",0.47,17.0,36.0,"32,70",0.46,32.0,70.0,"22,46",0.48,22.0,46.0,"6,14",0.43,6.0,14.0,0,0.0,0.0,0.0,"34,69","11,15","43,75",58,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.833998486300324,52,94
wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,softball,UW-Eau Claire,Kenna Struns,,,,45,45,155.0,55.0,65.0,30.0,10.0,1.0,3.0,18.0,0.0,0.0,2.0,1.0,33.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.48,86.0,180.0,34.0,0.971,0.419,0.555,49.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,57.0,0.947,0.0,0.0,3.0,7.0,41.0,49.0,"13,41",0.32,13.0,41.0,"33,77",0.43,33.0,77.0,"18,44",0.41,18.0,44.0,"3,7",0.43,3.0,7.0,0.0,0.0,0.0,0.0,"37,64","9,12","53,87",133,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.781805760962227,53,94
