conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,composite_score,rank,rating,global_rank
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Mark D'Agostino,,0,19,11,2,0,,0,0,0,0,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,13,7,20,0.65,0.0,7,5,2,2,0,22,5,3,2,0.09,0,0,,,,,,,,,,,,,,,,,,,49,76,51
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Sean Bradley,,0,20,15,1,0,,0,0,0,0,0,1,0,0,0,5,10:00,0,0,0,0,0,0,5,17,14,31,0.548,0.82,4,3,1,4,0,11,3,1,2,0.18,0,0,,,,,,,,,,,,,,,,,,,50,75,52
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Therien Thiesing,,0,21,19,4,0,,0,0,0,0,0,0,0,0,0,5,18:00,0,0,1,0,0,0,4,0,0,0,,0.0,15,8,7,22,0,47,8,6,2,0.04,0,0,,,,,,,,,,,,,,,,,,,51,75,53
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Brad Cox,,0,22,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,52,75,54
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Payton Miller,,0,23,19,1,0,,0,2,0,1,1,0,0,1,0,3,06:00,0,0,0,0,0,0,3,3,2,5,0.6,0.67,15,0,15,4,0,57,10,6,4,0.07,0,0,,,,,,,,,,,,,,,,,,,53,75,55
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Primo Self,,c,24,23,21,0,,0,1,0,2,1,0,4,2,0,7,33:00,0,0,2,0,0,1,4,1,4,5,0.2,4.0,13,8,5,4,0,46,11,2,9,0.2,0,0,,,,,,,,,,,,,,,,,,,54,75,56
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,John Goldowski,,0,25,26,1,0,,0,1,0,1,0,1,0,0,0,5,18:00,0,1,0,0,0,0,4,13,13,26,0.5,1.0,23,3,20,3,0,63,17,9,8,0.13,0,0,,,,,,,,,,,,,,,,,,,55,74,57
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Collin Kleiser,,d,26,23,15,0,,0,0,0,1,2,0,0,0,0,4,08:00,0,0,0,0,0,0,4,0,1,1,0.0,0.0,32,11,21,23,0,83,16,11,5,0.06,0,0,,,,,,,,,,,,,,,,,,,56,74,58
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Will Welburn,,0,27,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,57,74,59
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Krystian Jaks,,0,30,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,1.0,10:00,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,58,74,60
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Matt Schoephoerster,,0,31,2,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,2.0,85:29,3.0,29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.906,1.0,0.0,0.0,2.11,,59,73,61
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Hudson Blue,,0,33,24,16,0,,0,0,0,0,0,0,0,1,0,5,26:00,0,1,0,0,0,0,3,2,1,3,0.667,0.5,11,10,1,6,0,49,5,4,1,0.02,0,0,,,,,,,,,,,,,,,,,,,60,73,62
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Taybor Aldrich,,0,34,19,1,0,,0,0,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,3,5,8,0.375,1.67,17,6,11,2,0,32,11,5,6,0.19,0,0,,,,,,,,,,,,,,,,,,,61,73,63
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Matthew Boczar,,0,44,1,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,2,0,2,0,0,2,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,62,73,64
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Conner Chalmers,,0,55,8,0,0,,0,0,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,6,3,3,6,0,14,4,1,3,0.21,0,0,,,,,,,,,,,,,,,,,,,63,73,65
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,Ty Gaulin,,lw,90,13,6,0,,0,0,0,1,0,0,0,0,0,3,06:00,0,0,0,0,0,0,3,3,1,4,0.75,0.0,5,2,3,1,0,25,4,3,1,0.04,0,0,,,,,,,,,,,,,,,,,,,64,72,66
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,"Corso, Lilly",,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,65,72,67
ccc,The Commonwealth Coast Conference (CCC),2025-26,mhockey,Endicott College,"Tewsbury, Lilly",,0,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,66,72,68
