conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
saa,Southern Athletic Association (SAA),2025-26,wbball,Southwestern,"Almzayen,Alaa",0,G,0,10,0,3,8,2,5,2,1,9,1,0,0,43,3,4,7,4,0,4,0,0,0.38,0.4,0.5,0.9,0.7,0.0,0.0,0.1,0.4,-2.7697808488167355,107,45,4722
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Herdman,Brooke",0,G,13,22,2,3,16,1,5,10,4,11,3,4,10,150,9,16,25,23,2,8,0,0,0.19,0.2,0.4,0.5,1.14,0.45,0.18,0.14,0.36363636363636365,-2.9709757233496292,108,45,4869
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Phillip,Lauren",0,F,24,26,0,7,36,0,0,12,4,18,4,4,3,153,16,33,49,33,0,15,0,0,0.19,0.0,0.33,0.69,1.88,0.12,0.15,0.15,0.5769230769230769,-2.980295241373512,109,44,4870
saa,Southern Athletic Association (SAA),2025-26,wbball,Rhodes,"Caviness,Omaida",0,G,3,15,0,4,19,0,2,10,6,14,2,4,2,76,1,10,11,10,0,8,0,0,0.21,0.0,0.6,0.93,0.73,0.13,0.27,0.13,0.5333333333333333,-3.0425870362078795,110,44,4926
saa,Southern Athletic Association (SAA),2025-26,wbball,Centre,"Floyd,Kylie",0,F,23,14,0,3,13,2,4,2,1,9,1,1,2,55,2,11,13,7,0,5,0,0,0.23,0.5,0.5,0.64,0.93,0.14,0.07,0.07,0.35714285714285715,-3.1456772000007622,111,44,4977
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Leach,Dove",0,C,24,10,0,2,9,0,0,8,2,6,1,2,1,39,3,11,14,13,0,7,0,0,0.22,0.0,0.25,0.6,1.4,0.1,0.2,0.1,0.7,-3.1890758910179806,112,44,5006
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Jones,Ashton",0,F,21,15,0,2,9,1,3,4,3,8,1,0,3,59,0,10,10,8,0,7,0,0,0.22,0.33,0.75,0.53,0.67,0.2,0.0,0.07,0.4666666666666667,-3.3699669051844334,113,43,5076
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Cerniglia,Ana",0,G,14,8,0,0,2,0,1,0,0,0,0,0,0,23,3,2,5,3,0,1,0,0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.125,-3.3967357747850984,114,43,5099
saa,Southern Athletic Association (SAA),2025-26,wbball,Sewanee,"Potter,Grace",0,F,22,10,0,1,6,0,4,4,1,3,2,1,0,27,2,2,4,1,0,2,0,0,0.17,0.0,0.25,0.3,0.4,0.0,0.1,0.2,0.2,-3.4656535842025415,115,43,5124
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,"Scott,Abby",0,F,51,11,0,1,8,1,1,2,1,4,0,0,0,44,2,7,9,6,0,1,0,0,0.13,1.0,0.5,0.36,0.82,0.0,0.0,0.0,0.09090909090909091,-3.628979896845725,116,43,5140
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Hackradt,Lola",0,G,15,11,0,1,7,0,1,0,0,2,0,2,1,21,0,6,6,5,0,3,0,0,0.14,0.0,0.0,0.18,0.55,0.09,0.18,0.0,0.2727272727272727,-3.7347938882906817,117,42,5168
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Northam,Molly",0,F,12,9,0,0,3,0,1,6,1,1,0,2,1,48,4,1,5,2,0,4,0,0,0.0,0.0,0.17,0.11,0.56,0.11,0.22,0.0,0.4444444444444444,-3.797420682730764,118,42,5179
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"McKinney,Juliana",0,C,21,9,0,0,6,0,0,6,3,3,0,0,0,42,0,8,8,5,0,7,0,0,0.0,0.0,0.5,0.33,0.89,0.0,0.0,0.0,0.7777777777777778,-3.944782404759563,119,42,5199
saa,Southern Athletic Association (SAA),2025-26,wbball,Sewanee,"Gamez,Jenny",0,G,10,11,1,0,12,0,8,4,4,4,0,1,1,38,2,6,8,2,0,2,0,0,0.0,0.0,1.0,0.36,0.73,0.09,0.09,0.0,0.18181818181818182,-3.9644479627313083,120,42,5201
saa,Southern Athletic Association (SAA),2025-26,wbball,Trinity,"Hatlevig,Anika",0,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,121,41,5603
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Booth,Jakyla",0,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,122,41,5604
saa,Southern Athletic Association (SAA),2025-26,wbball,Millsaps,"Bell,Tajha",0,G,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,123,41,5605
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,Morgan Sandema,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,124,41,5606
saa,Southern Athletic Association (SAA),2025-26,wbball,Oglethorpe,Lily Burford,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,125,40,5607
saa,Southern Athletic Association (SAA),2025-26,wbball,Sewanee,"Haws,DJ",0,F,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,126,40,5608
saa,Southern Athletic Association (SAA),2025-26,wbball,Berry,"Heiden,McKinley",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,127,40,5609
