conference_code,conference,season,team,player_name,first_name,last_name,games_played,mpg,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,rank,rating,global_rank
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,A Allah,A,Allah,26,33.2,12.7,4.3,3.1,1.9,0.4,2.0,4.151044025867619,13,77,2544
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,J Saint Jean,J Saint,Jean,24,31.3,13.4,9.2,0.8,0.8,1.3,2.8,4.134591468094134,14,76,2538
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,D Rogers,D,Rogers,18,29.2,15.6,3.8,2.0,1.6,0.4,2.8,3.9743306178791897,15,75,2532
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,L Jennings,L,Jennings,24,24.8,12.0,7.3,1.4,0.8,0.8,1.5,3.8164703851411845,16,74,2545
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,F Field,F,Field,24,31.7,11.9,6.9,1.5,1.7,0.3,1.8,3.627013559006536,17,73,2546
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,L Washington,L,Washington,27,35.1,9.4,5.6,4.2,2.7,0.0,2.3,3.5264624896968266,18,72,2554
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Salem St.,J Walker,J,Walker,25,28.8,13.1,3.8,3.4,1.3,0.2,2.5,3.4453929019207727,19,72,2541
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Westfield St.,J James,J,James,27,29.9,13.3,3.0,1.9,1.4,0.1,1.2,3.438120432245795,20,71,2540
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Anna Maria,L Miglionico,L,Miglionico,25,29.2,16.4,3.9,0.8,0.5,0.3,2.5,3.1950767479100786,21,70,2530
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,C Quinn,C,Quinn,24,24.8,13.5,3.1,1.5,0.5,0.0,1.6,2.4018692155064647,22,69,2537
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,MCLA,K Franks,K,Franks,23,25.9,9.0,4.7,2.1,1.6,0.4,1.9,1.8292057835688842,23,69,2555
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Bridgewater St.,S Sweeney,S,Sweeney,26,25.9,11.0,2.2,1.3,0.7,0.2,0.7,1.7837783884134284,24,68,2549
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Fitchburg St.,M Drayton,M,Drayton,15,30.9,12.9,2.9,1.0,0.5,0.0,1.9,1.540598494852317,25,67,2543
mascac,Massachusetts State Collegiate Athletic Conference (MASCAC),2025-26,Framingham St.,V Chase,V,Chase,27,33.0,10.5,6.6,1.1,0.9,0.6,2.9,1.5360446048093441,26,67,2550
