conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,composite_score,global_rank,rating
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbb,Guilford College,"Giannopoulou,Anna",0,F,4,26,26,155,353,18,58,111,82,410,61,53,54,734,52,185,237,61,0,97,0,0,0.44,0.31,0.74,15.77,9.12,2.08,2.04,2.35,3.730769230769231,10.646728525871833,44,94
njac,New Jersey Athletic Conference (NJAC),2025-26,wbb,Rutgers-Camden,"Edmundo, Courtney",0,*,12,27,26,151,310,22,70,151,111,435,37,56,70,863,79,209,288,76,1,124,2,0,0.49,0.31,0.74,16.11,10.67,2.59,2.07,1.37,4.592592592592593,10.605500471982344,45,94
nac,North Atlantic Conference (NAC),2025-26,wbb,Husson ,"Evans,Saige",0,F,22,26,26,170,379,5,25,100,78,423,18,39,43,818,107,149,256,51,0,49,0,0,0.45,0.2,0.78,16.27,9.85,1.65,1.5,0.69,1.8846153846153848,10.504891358882409,46,94
arc,American Rivers Conference (ARC),2025-26,wbb,Luther,"Strum,Haylie",0,G,0,27,27,156,342,21,77,115,90,423,32,62,112,916,42,98,140,80,0,80,2,0,0.46,0.27,0.78,15.67,5.19,4.15,2.3,1.19,2.962962962962963,10.494305353477142,47,94
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbb,Shenandoah,"Williams,Emily",0,G,1,27,27,159,267,9,26,71,50,377,11,59,94,879,94,154,248,74,0,65,3,0,0.6,0.35,0.7,13.96,9.19,3.48,2.19,0.41,2.407407407407407,10.4102533645242,48,94
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbb,La Verne,"Smith,Alyssa",0,F,20,25,25,144,400,38,144,161,106,432,7,34,67,831,73,195,268,63,0,95,1,0,0.36,0.26,0.66,17.28,10.72,2.68,1.36,0.28,3.8,10.285349895651768,49,94
umac,Upper Midwest Athletic Conference (UMAC),2025-26,wbb,Martin Luther,"Morris,Mya",0,G,33,14,14,105,272,52,151,34,22,284,2,26,30,463,10,40,50,33,0,42,0,0,0.39,0.34,0.65,20.29,3.57,2.14,1.86,0.14,3.0,10.210418196048884,50,94
njac,New Jersey Athletic Conference (NJAC),2025-26,wbb,William Paterson,"Wells,Renee",0,*,14,27,27,167,414,34,117,118,96,464,6,54,75,789,42,116,158,66,0,56,0,0,0.4,0.29,0.81,17.19,5.85,2.78,2.0,0.22,2.074074074074074,10.201287232174472,51,93
njac,New Jersey Athletic Conference (NJAC),2025-26,wbb,NJCU,Meghan Gentile,0,*,23,23,22,165,437,72,219,66,60,462,2,36,31,821,10,112,122,55,1,58,3,0,0.38,0.33,0.91,20.09,5.3,1.35,1.57,0.09,2.5217391304347827,10.18336216908967,52,93
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,wbb,Penn State Abington,"Hackney,Amirah",0,G,5,28,25,188,493,52,193,111,62,490,22,76,57,849,45,118,163,76,2,80,0,0,0.38,0.27,0.56,17.5,5.82,2.04,2.71,0.79,2.857142857142857,10.1794555709807,53,93
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wbb,Emerson,"Frongillo,Bri",0,G,12,20,19,138,326,47,117,62,56,379,7,27,75,765,7,69,76,33,0,71,0,0,0.42,0.4,0.9,18.95,3.8,3.75,1.35,0.35,3.55,10.17316247580575,54,93
sciac,Southern California Intercollegiate Athletic Conference (SCIAC),2025-26,wbb,Redlands,Aj Wick,0,*,45,25,25,145,328,0,0,115,87,377,19,46,62,772,95,172,267,69,0,75,3,0,0.44,0.0,0.76,15.08,10.68,2.48,1.84,0.76,3.0,10.154227571904707,55,93
landmark_conference,Landmark Conference,2025-26,wbb,Scranton,"Kranson,Kaci",0,G,11,27,27,189,361,42,98,103,84,504,3,38,31,631,65,83,148,24,0,45,0,0,0.52,0.43,0.82,18.67,5.48,1.15,1.41,0.11,1.6666666666666667,10.112574257234463,56,93
lec,Little East Conference (LEC),2025-26,wbb,Rhode Island College,"Wager,Abby",0,G,1,26,26,134,325,21,96,112,81,370,55,51,79,855,23,177,200,66,0,76,4,0,0.41,0.22,0.72,14.23,7.69,3.04,1.96,2.12,2.923076923076923,10.092728303394978,57,93
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wbb,St. Norbert,"Thiry,Taylor",0,F,15,26,26,165,330,2,10,106,89,421,10,37,75,657,61,126,187,51,0,59,0,0,0.5,0.2,0.84,16.19,7.19,2.88,1.42,0.38,2.269230769230769,10.08267795431964,58,93
e8,Empire 8 (E8),2025-26,wbb,Utica,"Hall,Vanessa",0,F,11,25,25,159,347,33,96,120,103,454,11,21,28,876,43,137,180,47,0,43,1,0,0.46,0.34,0.86,18.16,7.2,1.12,0.84,0.44,1.72,10.05860490584689,59,93
lec,Little East Conference (LEC),2025-26,wbb,Keene State,"Rautiola,Brynn",0,G,3,27,27,181,429,64,201,120,99,525,6,52,45,898,27,67,94,28,0,59,0,0,0.42,0.32,0.83,19.44,3.48,1.67,1.93,0.22,2.185185185185185,10.0410705645891,60,93
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,wbb,St. Scholastica,"Haus,Ava",0,G,23,26,26,157,414,73,222,115,103,490,17,36,43,906,16,126,142,44,0,64,0,0,0.38,0.33,0.9,18.85,5.46,1.65,1.38,0.65,2.4615384615384617,10.038360580701443,61,93
odac,Old Dominion Athletic Conference (ODAC),2025-26,wbb,Bridgewater College,"Corcoran,Riley",0,G,5,27,27,165,372,19,67,186,138,487,10,62,42,903,51,74,125,43,0,53,0,0,0.44,0.28,0.74,18.04,4.63,1.56,2.3,0.37,1.962962962962963,9.997119749924597,62,93
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,wbb,Bethel,"Erickson,Emily",0,F,12,28,28,180,332,11,34,165,138,509,22,30,30,701,53,104,157,67,0,56,2,0,0.54,0.32,0.84,18.18,5.61,1.07,1.07,0.79,2.0,9.994054050565657,63,93
aec,Atlantic East Conference (AEC),2025-26,wbb,Marymount (VA),"Eddleton,Chandler",0,G,23,16,10,101,183,0,3,92,66,268,3,23,36,416,35,86,121,34,0,41,0,0,0.55,0.0,0.72,16.75,7.56,2.25,1.44,0.19,2.5625,9.9755844548131,64,93
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbb,Bates,Elsa Daulerio,0,*,22,27,27,159,356,0,4,96,65,383,73,12,57,781,47,149,196,42,0,38,0,0,0.45,0.0,0.68,14.19,7.26,2.11,0.44,2.7,1.4074074074074074,9.955353073102083,65,93
centennial_conference,Centennial Conference,2025-26,wbb,Haverford,"Jakway,Audrey",0,F,25,24,24,147,359,23,83,91,49,366,43,36,33,808,69,197,266,62,1,81,0,0,0.41,0.28,0.54,15.25,11.08,1.38,1.5,1.79,3.375,9.941580065180794,66,93
sliac,St. Louis Intercollegiate Athletic Conference (SLIAC),2025-26,wbb,Principia,"Matthews,Trinniti",0,F,32,27,27,158,337,3,24,105,70,389,59,53,46,849,76,113,189,73,1,52,1,0,0.47,0.13,0.67,14.41,7.0,1.7,1.96,2.19,1.9259259259259256,9.9364508192774,67,93
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,wbb,Gallaudet University,Natalie Greene,0,f,3,18,17,122,294,0,1,97,65,309,16,21,18,511,80,92,172,40,0,49,1,0,0.41,0.0,0.67,17.17,9.56,1.0,1.17,0.89,2.7222222222222223,9.908377905227288,68,93
