conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,composite_score,rank,rating,global_rank
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Nesvold, Sofia",,0,26,23,1,0,,0,0,0,0,0,0,0,0,0,5,10:00,0,0,0,0,0,0,5,97,72,169,0.574,0.74,8,5,3,6,,,,,,,,,,,,,,,,,,0,36,7,5,2,0.06,0,0,,43,74,959
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Schifano, Bella",,0,27,24,12,0,,0,0,0,0,1,0,2,0,0,5,10:00,0,0,0,0,0,0,5,199,153,352,0.565,0.77,21,14,7,13,,,,,,,,,,,,,,,,,,0,57,14,7,7,0.12,0,0,,44,74,960
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Folden, Ericah",,0,1,2,2,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,2.0,116:16,3.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.889,2.0,0.0,0.0,1.55,0,0,0,0,0,0.0,0,0,,45,73,961
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Fassler, Lucy",,0,29,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,,46,73,962
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Peterson, Sarah",,0,30,12,12,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,12.0,714:51,23.0,309.0,1416171.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.931,12.0,0.0,0.0,1.93,0,0,0,0,0,0.0,0,0,,47,73,963
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,"Matusovich, Abby",,0,31,10,10,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,10.0,592:08,18.0,214.0,3112015281528.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.922,10.0,0.0,0.0,1.82,0,0,0,0,0,0.0,0,0,,48,72,964
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Bowdoin,Charlie Frankenfeld,,0,9,8,4,0,,0,0,0,0,0,0,0,0,0,9,18:00,0,0,0,0,0,0,9,-2,0,-2,1.0,-200.0,-3,4,-7,-4,,,,,,,,,,,,,,,,,,0,2,0,0,0,0.0,0,0,,49,72,965
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Grace Caligiuri,,g,1,7,6,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,6.0,308:32,11.0,77.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.875,6.0,0.0,0.0,2.14,0,0,0,0,0,0.0,0,0,,50,72,966
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Keirstyn Camiolo,,0,2,7,0,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,2,2,0,0,,,,,,,,,,,,,,,,,,0,4,1,1,0,0.0,0,0,,51,72,967
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Molly Sant,,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0,0,,52,71,968
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Abby Tattersall,,0,4,15,0,0,,0,0,0,0,0,0,0,0,0,1,02:00,0,0,0,0,0,0,1,0,0,0,,0.0,14,3,11,4,,,,,,,,,,,,,,,,,,0,9,2,2,0,0.0,0,0,,53,71,969
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Cailyn Murphy,,0,5,18,6,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,0,0,0,,0.0,13,6,7,13,,,,,,,,,,,,,,,,,,0,20,2,1,1,0.05,0,0,,54,71,970
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Brooke Eselunas,,0,7,11,0,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,2,2,0.0,0.0,8,1,7,0,,,,,,,,,,,,,,,,,,0,13,5,2,3,0.23,0,0,,55,70,971
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Michaud-nolan Kayleigh,,0,8,23,4,0,,0,0,0,0,0,0,0,0,0,11,22:00,0,0,0,0,0,0,11,155,99,254,0.61,0.64,16,9,7,10,,,,,,,,,,,,,,,,,,0,34,6,5,1,0.03,0,0,,56,70,972
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Sophia Kennedy,,0,9,24,12,0,,0,2,0,0,1,1,2,3,0,5,10:00,0,0,0,0,0,0,5,2,6,8,0.25,3.0,18,3,15,16,,,,,,,,,,,,,,,,,,0,75,17,10,7,0.09,0,0,,57,70,973
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Marion Legge,,rw,10,24,9,0,,0,0,0,0,0,0,3,0,0,4,08:00,0,0,0,0,0,0,4,157,116,273,0.575,0.74,14,10,4,17,,,,,,,,,,,,,,,,,,0,46,12,8,4,0.09,0,0,,58,70,974
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Allie Corrieri,,d,11,24,9,0,,0,0,0,1,0,0,2,1,0,5,10:00,0,0,0,0,0,0,5,0,0,0,,0.0,26,10,16,25,,,,,,,,,,,,,,,,,,0,61,14,10,4,0.07,0,0,,59,69,975
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Emily Olsthoorn,,0,12,20,0,0,,0,0,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,50,38,88,0.568,0.76,18,3,15,3,,,,,,,,,,,,,,,,,,0,52,17,9,8,0.15,0,0,,60,69,976
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Beth Sinson,,c,14,24,13,0,,0,0,0,1,0,0,0,1,0,0,00:00,0,0,0,0,0,0,0,295,159,454,0.65,0.54,18,6,12,5,,,,,,,,,,,,,,,,,,0,53,13,10,3,0.06,0,0,,61,69,977
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Mallory Farrell,,0,15,13,1,0,,0,0,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,2,3,-1,3,,,,,,,,,,,,,,,,,,0,13,3,2,1,0.08,0,0,,62,69,978
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Maria Pierce,,0,17,24,9,0,,0,0,0,0,1,0,2,0,0,8,16:00,0,0,0,0,0,0,8,14,19,33,0.424,1.36,13,10,3,15,,,,,,,,,,,,,,,,,,0,29,7,4,3,0.1,0,0,,63,68,979
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Molly Lefebvre,,0,18,24,3,0,,0,0,0,1,0,0,3,1,0,4,08:00,0,0,0,0,0,0,4,3,3,6,0.5,1.0,17,6,11,12,,,,,,,,,,,,,,,,,,0,61,18,8,10,0.16,0,0,,64,68,980
nescac,New England Small College Athletic Conference (NESCAC),2025-26,whockey,Colby,Sophie Melsness,,0,19,23,1,0,,0,0,0,0,0,0,0,1,0,2,04:00,0,0,0,0,0,0,2,0,3,3,0.0,0.0,10,11,-1,11,,,,,,,,,,,,,,,,,,0,31,4,2,2,0.06,0,0,,65,68,981
