season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Parella, Ana",Ana,Parella,,78,"Parella, Ana","PARELLA, ANA",Brockport,Brock,652-8030,89,41,3,0,3,0,.232,315,61,134,9,0,48,0,22,27,132,0,0,5,0,37,59,8,45,14,192.5,1,1.51,0.10,0.42,0.66,0.25,2.16,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Baty, Ava",Ava,Baty,,78,"Baty, Ava","BATY, AVA",Brockport,Brock,652-8031,35,0,14,0,14,0,.240,25,3,9,122,6,389,0,6,6,73,0,0,2,0,49,8,2,8,0,19,0,0.26,3.49,1.40,0.23,0.17,0.54,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Yusko, Delaney",Delaney,Yusko,,78,"Yusko, Delaney","YUSKO, DELANEY",Brockport,Brock,652-8032,8,2,17,0,17,0,.250,24,5,11,0,1,4,0,1,2,10,0,0,2,1,1,7,0,4,3,17,0,1.38,0.00,0.13,0.88,0.13,2.13,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,"Jones, Madisen",Madisen,Jones,,78,"Jones, Madisen","JONES, MADISEN",Brockport,Brock,652-8033,72,28,18,0,18,0,.259,487,68,194,4,4,43,0,12,23,71,0,0,89,12,63,22,3,19,3,218.5,1,2.69,0.06,0.88,0.31,0.17,3.03,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Brockport,Kaylee Holly-Dickers,Kaylee,Holly-Dickers,,78,Kaylee Holly-Dickers,"HOLLY-DICKERS,KAYLEE",Brockport,Brock,0,0,0,7,0,7,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Hornick, Braelyn",Braelyn,Hornick,,273,"Hornick, Braelyn","HORNICK, BRAELYN",Hartwick,Hart,1005-2785,84,43,19,0,19,0,.160,213,21,55,804,18,2084,0,33,24,369,0,0,7,1,210,21,1,21,0,98.5,0,0.65,9.57,2.50,0.25,0.39,1.17,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Kalbach, Ellie",Ellie,Kalbach,,273,"Kalbach, Ellie","KALBACH, ELLIE",Hartwick,Hart,1005-2914,121,49,2,0,2,0,.059,68,5,9,346,13,1144,0,20,48,374,0,0,44,4,249,8,2,8,0,33,1,0.07,2.86,2.06,0.07,0.17,0.27,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Swartz, Shelby",Shelby,Swartz,,273,"Swartz, Shelby","SWARTZ, SHELBY",Hartwick,Hart,1005-2919,127,54,9,0,9,0,.188,1196,164,389,34,6,232,0,35,34,447,0,0,640,35,325,57,4,50,7,456,1,3.06,0.27,2.56,0.45,0.28,3.59,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Kinnane, Mary",Mary,Kinnane,,273,"Kinnane, Mary","KINNANE, MARY",Hartwick,Hart,1005-2917,112,2,6,0,6,0,.250,4,0,1,2,0,11,0,64,52,398,0,0,0,0,26,0,0,0,0,65,0,0.01,0.02,0.23,0.00,0.57,0.58,,,,,,
2025-26,wvball,Empire 8 (E8),e8,Hartwick,"Gracias, Isabella",Isabella,Gracias,,273,"Gracias, Isabella","GRACIAS, ISABELLA",Hartwick,Hart,1005-3056,126,18,14,0,14,0,.272,768,103,312,3,6,62,0,0,0,1,0,0,6,2,33,82,7,72,10,358,5,2.48,0.02,0.26,0.65,0.00,2.84,,,,,,
