season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,composite_score,global_rank,rating
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Manes, Brianna",Brianna,Manes,,775,"Manes, Brianna","MANES, BRIANNA",Western New England University,WNE,1022-4443,9,5,12,0,12,0,,,,,,,1.33,0.00,0.22,0.11,0.00,1.39,.333,30,2,12,0,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,12.5,0,0.6508810137536352,61,81
2026-27,wvball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,"Vaughn, Olivia",Olivia,Vaughn,,762,"Vaughn, Olivia","VAUGHN, OLIVIA",Wentworth Institute of Technology,WIT,0,21,5,18,0,18,0,,,,,,,0.14,8.33,2.29,0.19,0.38,0.62,.083,12,2,3,175,4,495,0,8,2,76,0,0,1,0,48,4,0,4,0,13,0,0.6506917663343932,62,81
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Perrault, Kaylee",Kaylee,Perrault,,684,"Perrault, Kaylee","PERRAULT, KAYLEE",Suffolk University,SUF,0,8,1,5,0,5,0,,,,,,,1.00,0.00,0.75,0.38,0.00,1.19,-.025,40,9,8,0,0,1,0,0,0,0,0,0,9,4,6,3,0,3,0,9.5,0,0.5547144395536263,63,81
2026-27,wvball,Conference of New England (CCC),ccc,Gordon College,"Pierce, Amanda",Amanda,Pierce,,1099,"Pierce, Amanda","PIERCE, AMANDA",Gordon College,GC,693-3048,10,0,15,0,15,0,,,,,,,0.00,0.50,3.80,0.00,0.40,0.40,.000,0,0,0,5,0,32,0,4,0,51,0,0,39,1,38,0,0,0,0,4,0,0.5026591408086499,64,81
2026-27,wvball,Conference of New England (CCC),ccc,University of New England,Hayley Shult,Hayley,Shult,,1255,Hayley Shult,"SHULT,HAYLEY",University of New England,UNE,990-2994,11,3,20,0,20,0,,,,,,,0.09,5.27,1.91,0.09,0.09,0.23,.500,2,0,1,58,3,61,0,1,2,22,0,0,1,0,21,1,0,1,0,2.5,0,0.4349138988293655,65,80
2026-27,wvball,Conference of New England (CCC),ccc,University of New England,Mia Kenny,Mia,Kenny,,1255,Mia Kenny,"KENNY,MIA",University of New England,UNE,990-3391,4,1,18,0,18,0,,,,,,,0.50,0.00,0.25,0.00,0.75,1.25,.250,4,1,2,0,1,1,0,3,4,13,0,0,0,0,1,0,0,0,0,5,0,0.3713970888024516,66,80
2026-27,wvball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,"Cefalu, Gianna",Gianna,Cefalu,,762,"Cefalu, Gianna","CEFALU, GIANNA",Wentworth Institute of Technology,WIT,0,3,0,23,0,23,0,,,,,,,0.33,0.33,0.00,0.00,0.00,0.33,1.000,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0,0,0.3660318740421675,67,80
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Garland, Katie",Katie,Garland,,775,"Garland, Katie","GARLAND, KATIE",Western New England University,WNE,1022-3915,8,4,8,0,8,0,,,,,,,1.25,0.25,1.00,0.00,0.25,1.50,.032,31,9,10,2,0,5,0,2,0,15,0,0,26,4,8,0,1,0,0,12,0,0.317717905802432,68,79
2026-27,wvball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,"Vaness, Sarah",Sarah,Vaness,,762,"Vaness, Sarah","VANESS, SARAH",Wentworth Institute of Technology,WIT,0,21,0,19,0,19,0,,,,,,,0.00,0.43,3.76,0.00,0.52,0.52,-.200,5,1,0,9,1,34,0,11,8,82,0,0,121,8,79,0,0,0,0,11,0,0.1711568426422485,69,79
2026-27,wvball,Conference of New England (CCC),ccc,Roger Williams University,"Hernandez, Marianna",Marianna,Hernandez,,583,"Hernandez, Marianna","HERNANDEZ, MARIANNA",Roger Williams University,RWU,697-9027,20,0,6,0,6,0,,,,,,,0.00,0.75,3.65,0.00,0.30,0.30,.000,1,0,0,15,0,63,0,6,0,50,0,0,88,7,73,0,0,0,0,6,0,0.16656913878404056,70,79
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Baez, Deana",Deana,Baez,,775,"Baez, Deana","BAEZ, DEANA",Western New England University,WNE,1022-4116,2,0,11,0,11,0,,,,,,,0.00,3.00,4.50,0.00,0.00,0.00,.000,0,0,0,6,0,33,0,0,0,0,0,0,0,0,9,0,0,0,0,0.0,0,0.06538746444685523,71,79
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Ergin, Ela Melisa",Ela Melisa,Ergin,,684,"Ergin, Ela Melisa","ERGIN, ELA MELISA",Suffolk University,SUF,0,1,0,17,0,17,0,,,,,,,1.00,0.00,0.00,0.00,0.00,1.00,.500,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,-0.002941722323387852,72,78
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Thomander, Emmy",Emmy,Thomander,,684,"Thomander, Emmy","THOMANDER, EMMY",Suffolk University,SUF,0,11,3,14,0,14,0,,,,,,,0.82,0.00,0.09,0.36,0.00,1.00,.053,38,7,9,0,0,0,0,0,0,2,0,0,0,0,1,4,1,4,0,11,0,-0.05251808577012079,73,78
2026-27,wvball,Conference of New England (CCC),ccc,Nichols College,"Mullen, Elizabeth",Elizabeth,Mullen,,484,"Mullen, Elizabeth","MULLEN, ELIZABETH",Nichols College,NC,695-4562,11,0,15,0,15,0,,,,,,,0.00,0.18,2.00,0.00,0.64,0.64,.000,4,0,0,2,0,17,0,7,8,33,0,0,19,2,22,0,0,0,0,7,0,-0.197887005525478,74,78
2026-27,wvball,Conference of New England (CCC),ccc,University of Hartford,"Murphy, Jenna",Jenna,Murphy,,272,"Murphy, Jenna","MURPHY, JENNA",University of Hartford,Hart,6-2634,7,3,11,0,11,0,,,,,,,0.29,0.00,0.00,0.57,0.00,0.79,.000,13,2,2,0,1,6,0,0,0,0,0,0,0,0,0,4,0,1,3,5.5,0,-0.26483202897284325,75,77
2026-27,wvball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,"Gregson, Ainsley",Ainsley,Gregson,,762,"Gregson, Ainsley","GREGSON, AINSLEY",Wentworth Institute of Technology,WIT,0,14,3,8,0,8,0,,,,,,,0.07,0.29,1.07,0.00,0.21,0.29,.500,2,0,1,4,0,18,0,3,2,42,0,0,45,4,15,0,0,0,0,4,0,-0.275394671289821,76,77
2026-27,wvball,Conference of New England (CCC),ccc,University of Hartford,"Johnson, Lauren",Lauren,Johnson,,272,"Johnson, Lauren","JOHNSON, LAUREN",University of Hartford,Hart,6-3175,4,1,5,0,5,0,,,,,,,0.50,0.00,1.25,0.25,0.00,0.75,.000,11,2,2,0,1,2,0,0,0,0,0,0,0,0,5,1,0,0,1,3,0,-0.36668167509332056,77,77
2026-27,wvball,Conference of New England (CCC),ccc,University of Hartford,"Theobald, Emily",Emily,Theobald,,272,"Theobald, Emily","THEOBALD, EMILY",University of Hartford,Hart,6-2830,3,0,4,0,4,0,,,,,,,0.33,0.33,1.67,0.00,0.00,0.33,.333,3,0,1,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,-0.4073541530642152,78,77
2026-27,wvball,Conference of New England (CCC),ccc,Nichols College,"Bottone,, Liliana",", Liliana",Bottone,,484,"Bottone,, Liliana","BOTTONE,, LILIANA",Nichols College,NC,695-5099,8,1,8,0,8,0,,,,,,,0.63,0.13,1.88,0.00,0.13,0.75,.000,19,5,5,1,0,7,0,1,2,22,0,0,16,1,15,0,0,0,0,6,0,-0.4423400105007843,79,76
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Pycz, Sage",Sage,Pycz,,775,"Pycz, Sage","PYCZ, SAGE",Western New England University,WNE,1022-4441,2,0,3,0,3,0,,,,,,,1.50,0.00,0.00,0.00,0.00,1.50,.067,15,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,-0.4522956383657839,80,76
2026-27,wvball,Conference of New England (CCC),ccc,Gordon College,"Chevalier, Emma",Emma,Chevalier,,1099,"Chevalier, Emma","CHEVALIER, EMMA",Gordon College,GC,693-3306,2,0,9,0,9,0,,,,,,,0.50,0.50,0.50,0.00,0.00,0.50,.500,2,0,1,1,0,2,0,0,1,8,0,0,0,0,1,0,0,0,0,1,0,-0.4632287699369668,81,76
2026-27,wvball,Conference of New England (CCC),ccc,Nichols College,"Hennouch, Naseem",Naseem,Hennouch,,484,"Hennouch, Naseem","HENNOUCH, NASEEM",Nichols College,NC,695-5104,9,3,11,0,11,0,,,,,,,0.11,3.11,2.00,0.00,0.11,0.22,.250,4,0,1,28,1,125,0,1,6,24,0,0,2,1,18,0,0,0,0,2,0,-0.5197990292713239,82,75
2026-27,wvball,Conference of New England (CCC),ccc,University of Hartford,"Miller, Addison",Addison,Miller,,272,"Miller, Addison","MILLER, ADDISON",University of Hartford,Hart,6-3413,11,0,1,0,1,0,,,,,,,0.00,0.55,3.00,0.00,0.18,0.18,.000,10,0,0,6,1,36,0,2,6,45,0,0,72,10,33,0,0,0,0,2,0,-0.5646861835810457,83,75
2026-27,wvball,Conference of New England (CCC),ccc,Western New England University,"Chagnon, Lauren",Lauren,Chagnon,,775,"Chagnon, Lauren","CHAGNON, LAUREN",Western New England University,WNE,1022-4444,11,5,14,0,14,0,,,,,,,0.00,0.09,2.00,0.00,0.45,0.45,.000,1,0,0,1,0,10,0,5,6,44,0,0,35,5,22,0,0,0,0,5,0,-0.6375963366453562,84,75
2026-27,wvball,Conference of New England (CCC),ccc,Gordon College,"Bell, Maddie",Maddie,Bell,,1099,"Bell, Maddie","BELL, MADDIE",Gordon College,GC,693-3307,11,0,19,0,19,0,,,,,,,0.00,0.09,2.55,0.00,0.27,0.27,.000,0,0,0,1,0,6,0,3,3,34,0,0,10,2,28,0,0,0,0,3,0,-0.6703949310403864,85,75
2026-27,wvball,Conference of New England (CCC),ccc,Roger Williams University,"McGonagle, Ava",Ava,McGonagle,,583,"McGonagle, Ava","MCGONAGLE, AVA",Roger Williams University,RWU,697-9655,18,4,13,0,13,0,,,,,,,0.17,5.39,1.39,0.22,0.28,0.56,-.138,29,7,3,97,12,329,0,5,11,62,0,0,1,1,25,4,0,4,0,10,1,-0.6793301189365974,86,74
2026-27,wvball,Conference of New England (CCC),ccc,Suffolk University,"Norgrove, Emily",Emily,Norgrove,,684,"Norgrove, Emily","NORGROVE, EMILY",Suffolk University,SUF,0,10,3,21,0,21,0,,,,,,,1.10,0.10,0.90,0.00,0.00,1.10,-.019,54,12,11,1,0,3,0,0,0,0,0,0,24,5,9,0,0,0,0,11,0,-0.7216054579816613,87,74
2026-27,wvball,Conference of New England (CCC),ccc,Nichols College,"Decoteau, Lauren",Lauren,Decoteau,,484,"Decoteau, Lauren","DECOTEAU, LAUREN",Nichols College,NC,695-5101,11,3,21,0,21,0,,,,,,,0.73,0.00,0.18,0.18,0.00,0.82,.067,30,6,8,0,0,4,0,0,0,0,0,0,0,0,2,2,3,2,0,9,0,-0.8337473917383738,88,74
2026-27,wvball,Conference of New England (CCC),ccc,Wentworth Institute of Technology,"Smith, Sydnee",Sydnee,Smith,,762,"Smith, Sydnee","SMITH, SYDNEE",Wentworth Institute of Technology,WIT,0,5,0,16,0,16,0,,,,,,,0.40,1.80,0.20,0.00,0.00,0.40,.500,4,0,2,9,0,26,0,0,1,3,0,0,1,0,1,0,0,0,0,2,0,-0.8343902815324955,89,73
