season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Burns, Jevon",Jevon,Burns,,245,"Burns, Jevon","BURNS, JEVON",Gallaudet University,Gal,141-2427,10,0,23,0,23,0,,,,,,,0.10,0.00,0.50,0.10,0.10,0.25,-.167,6,2,1,0,0,2,0,1,6,22,0,0,0,0,5,1,0,1,0,2.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Herzig-Wilcox, Keanu",Keanu,Herzig-Wilcox,,245,"Herzig-Wilcox, Keanu","HERZIG-WILCOX, KEANU",Gallaudet University,Gal,141-2101,1,8,22,0,22,0,,,,,,,1.00,0.00,0.00,0.00,0.00,1.00,.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Herzig-Wilcox, Tahoe",Tahoe,Herzig-Wilcox,,245,"Herzig-Wilcox, Tahoe","HERZIG-WILCOX, TAHOE",Gallaudet University,Gal,141-2408,72,10,6,0,6,0,,,,,,,0.69,0.00,0.44,0.29,0.06,0.93,.041,221,41,50,0,1,34,0,4,18,71,0,0,3,0,32,21,12,16,5,67,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Holcomb, Pax",Pax,Holcomb,,245,"Holcomb, Pax","HOLCOMB, PAX",Gallaudet University,Gal,141-2426,87,24,3,0,3,0,,,,,,,0.30,0.08,1.28,0.01,0.21,0.51,-.055,128,33,26,7,1,43,0,18,37,260,0,0,279,16,111,1,0,1,0,44.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"McCabe, John",John,McCabe,,245,"McCabe, John","MCCABE, JOHN",Gallaudet University,Gal,141-2328,45,24,20,0,20,0,,,,,,,1.33,0.02,0.22,0.62,0.02,1.76,.294,126,23,60,1,0,9,0,1,4,10,0,0,1,1,10,28,3,20,8,79,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Bippus, Zachary",Zachary,Bippus,,245,"Bippus, Zachary","BIPPUS, ZACHARY",Gallaudet University,Gal,141-2158,91,48,9,0,9,0,,,,,,,3.68,0.13,2.23,0.36,0.37,4.31,.184,904,169,335,12,5,86,0,34,94,322,0,0,433,23,203,33,9,19,14,392.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Sheppeck, Nathan",Nathan,Sheppeck,,245,"Sheppeck, Nathan","SHEPPECK, NATHAN",Gallaudet University,Gal,141-2109,0,0,7,0,7,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Paterson, Callum",Callum,Paterson,,245,"Paterson, Callum","PATERSON, CALLUM",Gallaudet University,Gal,141-1930,63,0,11,0,11,0,,,,,,,0.00,0.14,1.32,0.02,0.05,0.06,-.200,10,2,0,9,0,62,0,3,17,86,0,0,160,14,83,1,0,0,1,4,1
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Adler, Josh",Josh,Adler,,1305,"Adler, Josh","ADLER, JOSH",Cairn University,Cairn,1236-2028,108,45,2,0,2,0,,,,,,,0.53,7.81,1.45,0.20,0.31,0.97,.165,230,19,57,843,29,2116,0,34,39,454,0,0,25,2,157,22,12,16,6,105,1
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Stuart, Jesse",Jesse,Stuart,,1305,"Stuart, Jesse","STUART, JESSE",Cairn University,Cairn,1236-2166,63,26,6,0,6,0,,,,,,,1.92,0.21,1.17,0.21,0.17,2.21,.152,330,71,121,13,2,76,0,11,54,180,0,0,307,20,74,13,4,12,1,139,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Poirier, Sam",Sam,Poirier,,1305,"Poirier, Sam","POIRIER, SAM",Cairn University,Cairn,1236-2168,110,47,12,0,12,0,,,,,,,3.28,0.12,1.71,0.29,0.35,3.85,.248,840,153,361,13,10,127,0,38,70,417,0,0,566,47,188,32,5,15,17,423.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Wolf, Josiah",Josiah,Wolf,,1305,"Wolf, Josiah","WOLF, JOSIAH",Cairn University,Cairn,1236-2238,97,1,7,0,7,0,,,,,,,0.04,0.35,1.80,0.00,0.00,0.04,.100,30,1,4,34,4,160,0,0,4,10,0,0,627,74,175,0,1,0,0,4,1
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Mygovych, Bogdan",Bogdan,Mygovych,,1305,"Mygovych, Bogdan","MYGOVYCH, BOGDAN",Cairn University,Cairn,1236-2239,6,2,15,0,15,0,,,,,,,0.50,0.17,0.33,0.00,0.00,0.50,.077,13,2,3,1,0,2,0,0,2,3,0,0,0,0,2,0,0,0,0,3,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Cabrera, Caleb",Caleb,Cabrera,,1305,"Cabrera, Caleb","CABRERA, CALEB",Cairn University,Cairn,1236-2236,48,24,10,0,10,0,,,,,,,0.83,0.00,0.40,0.33,0.06,1.08,.198,111,18,40,0,3,25,0,3,23,113,0,0,1,0,19,16,3,14,2,52,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Clark, Nehemiah",Nehemiah,Clark,,1305,"Clark, Nehemiah","CLARK, NEHEMIAH",Cairn University,Cairn,1236-2299,105,29,8,0,8,0,,,,,,,2.08,0.08,0.65,0.25,0.12,2.37,.197,524,115,218,8,6,78,0,13,58,151,0,0,4,1,68,26,15,16,10,249,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Leonard, Reuben",Reuben,Leonard,,1305,"Leonard, Reuben","LEONARD, REUBEN",Cairn University,Cairn,1236-2320,102,28,1,0,1,0,,,,,,,0.43,0.09,1.11,0.01,0.32,0.76,.021,146,41,44,9,7,64,0,33,76,299,0,0,142,10,113,1,0,1,0,77.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Panaia, Justin",Justin,Panaia,,1305,"Panaia, Justin","PANAIA, JUSTIN",Cairn University,Cairn,1236-2323,111,44,13,0,13,0,,,,,,,1.54,0.07,0.38,0.35,0.25,2.00,.232,396,79,171,8,5,58,0,28,71,318,0,0,20,2,42,39,8,31,8,222.5,0
2026-27,mvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Taylor, Micah",Micah,Taylor,,1305,"Taylor, Micah","TAYLOR, MICAH",Cairn University,Cairn,1236-2321,104,36,3,0,3,0,,,,,,,0.64,0.63,0.99,0.13,0.19,0.90,.117,206,43,67,65,12,223,0,20,37,309,0,0,347,30,103,13,5,12,1,94,0
