conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_plusminus,z_penalty_stats_minutes,composite_score,rank,rating
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Lindsey, Luke",,0,7,17,2,0,,0,0,0,0,0,0,0,0,0,4,08:00,0,0,0,0,0,0,4,1,0,1,1.0,100.0,9,6,3,8,0,15,2,2,0,0.0,0,0,,,,,,,,,,,,,,,,,,-0.6749011931984098,-0.7702056663550061,-0.5073828057019774,0.4382845628993549,,,34,78
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Hjelm, KJ",,0,8,10,2,0,,0,0,0,0,0,0,0,0,0,6,12:00,0,0,0,0,0,0,6,2,6,8,0.25,3.0,1,1,0,0,0,6,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,-0.9436401298566002,-0.7702056663550061,-0.9380871809602476,0.018548923460069432,,,35,78
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Kostelecky, Tyler",,0,9,27,5,0,,0,0,0,0,0,0,2,1,1,0,00:00,0,0,0,0,0,0,0,13,20,33,0.394,1.54,17,20,-3,7,0,70,14,5,9,0.13,0,0,,,,,,,,,,,,,,,,,,0.9375324267507323,1.8292384575931397,0.13867375718542782,-0.40118671597921596,,,36,77
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Anderson, Logan",,0,10,25,5,0,,0,0,0,0,0,0,0,0,0,9,21:00,0,0,0,0,0,1,8,140,191,331,0.423,1.36,19,13,6,8,0,36,12,9,3,0.08,0,0,,,,,,,,,,,,,,,,,,0.668793490092542,0.09627570829437582,1.0000825077019682,0.8580202023386403,,,37,77
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Kelly, Joe",,0,11,25,7,0,,0,0,0,1,0,0,0,2,0,6,12:00,0,0,0,0,0,0,6,27,27,54,0.5,1.0,11,12,-1,7,0,50,8,3,5,0.1,0,0,,,,,,,,,,,,,,,,,,0.13131561677616124,0.6739299580606305,-0.2920306180728423,-0.12136295635302571,,,38,77
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Konkel, Jeremiah",,0,12,24,6,0,,0,0,0,1,1,1,0,1,0,2,04:00,0,0,0,0,0,0,2,55,63,118,0.466,1.15,10,10,0,9,0,46,8,4,4,0.09,0,0,,,,,,,,,,,,,,,,,,0.13131561677616124,0.38510283317750316,-0.07667843044370726,0.018548923460069432,,,39,77
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Yoon, Joseph",,0,14,15,1,0,,0,0,0,1,0,0,0,1,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,6,9,-3,5,0,15,4,2,2,0.13,0,0,,,,,,,,,,,,,,,,,,-0.4061622565402195,-0.1925514165887515,-0.5073828057019774,-0.40118671597921596,,,40,76
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Sawicky, Luke",,0,15,1,0,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,,0.0,0,1,-1,0,0,2,0,0,0,0.0,0,0,,,,,,,,,,,,,,,,,,-0.9436401298566002,-0.7702056663550061,-0.9380871809602476,-0.12136295635302571,,,41,76
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Lavelle, Shane",,0,16,24,3,0,,0,0,0,0,0,0,0,1,0,13,37:00,0,0,1,0,0,1,11,1,2,3,0.333,2.0,8,10,-2,5,0,41,9,8,1,0.02,0,0,,,,,,,,,,,,,,,,,,0.2656850851052564,-0.4813785414718788,0.784730320072833,-0.26127483616612085,,,42,76
miac,Minnesota Intercollegiate Athletic Conference (MIAC),2025-26,mhockey,Bethel,"Mcisaac, Nate",,0,17,15,3,0,,0,0,0,0,0,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,,0.0,7,4,3,8,0,12,1,0,1,0.08,0,0,,,,,,,,,,,,,,,,,,-0.809270661527505,-0.4813785414718788,-0.9380871809602476,0.4382845628993549,,,43,75
