conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Shea Donnelly,0,0,23,19,0,21,66,12,41,2,1,55,2,18,3,222,13,31,44,22,0,20,0,0,0.32,0.29,0.5,2.89,2.32,0.16,0.95,0.11,1.0526315789473684,-0.4174076045604373,-0.15192207762618756,-0.8994098236761326,-0.06738273478207879,-0.24969024605903042,0.7409002297495253,-0.37410079701232896,-1.6081359609461205,104,52
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Steel,Maddy",0,G,5,7,0,7,16,3,11,2,1,18,0,1,0,48,1,3,4,2,0,4,0,0,0.44,0.27,0.5,2.57,0.57,0.0,0.14,0.0,0.5714285714285714,-0.4964635770145423,-0.9997549320951674,-1.0853610291454263,-0.7397897091533463,0.6328512781932506,-0.9608489063914291,-0.6490070321776775,-1.6313173962281111,105,52
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Conn. College,"Rourke,Coco",0,G,24,8,0,3,5,0,0,2,0,6,0,1,3,39,4,10,14,1,0,3,0,0,0.6,0.0,0.0,0.75,1.75,0.38,0.13,0.0,0.375,-0.9460944203472641,-0.4280733502246552,-0.6437269161558538,-1.0142683373634926,1.8095733105296252,-0.9818581549857619,-0.6490070321776775,-1.634942400260367,106,51
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Bates,Petra Kuncz,0,0,12,25,0,15,41,0,0,8,4,34,14,15,11,196,21,33,54,26,0,10,0,0,0.37,0.0,0.5,1.36,2.16,0.44,0.6,0.56,0.4,-0.7953939728566265,-0.22943822432049416,-0.5739952141048686,-0.9793346937731102,0.1180353890460866,0.005576528947878365,0.750515619573188,-1.6572896168168694,107,51
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Conn. College,"Funk,Lily",0,G,25,7,0,5,13,2,8,0,0,12,1,1,1,25,1,4,5,2,0,0,0,0,0.38,0.25,0.0,1.71,0.71,0.14,0.14,0.14,0.0,-0.7089265029849493,-0.931928303737649,-0.9226537243597944,-1.5382729912192263,0.1915805160671101,-0.9608489063914291,-0.2991263692399611,-1.6594080730335523,108,51
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Ava Bryan,0,0,18,10,0,11,24,5,12,2,1,28,2,3,2,60,2,9,11,4,0,7,0,0,0.46,0.42,0.5,2.8,1.1,0.2,0.3,0.2,0.7,-0.4396420968131544,-0.7429826961702762,-0.8529220223088093,-0.5601309706885232,0.7799415322352976,-0.6247009288821048,-0.14917751369522556,-1.6608366977391456,109,51
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Myerberg,Avery",0,0,14,10,0,8,35,2,22,9,7,25,0,5,9,138,4,20,24,11,0,7,0,0,0.23,0.09,0.78,2.5,2.4,0.9,0.5,0.0,0.7,-0.5137570709888777,-0.11316400427903417,-0.039385498380649114,-0.5601309706885232,-0.9115963892482413,-0.2045159569954493,-0.6490070321776775,-1.740790734699741,110,50
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Wesleyan,"Brown,Molly",0,G,22,7,0,2,4,0,0,0,0,4,0,1,5,13,1,3,4,2,0,1,0,0,0.5,0.0,0.0,0.57,0.57,0.71,0.14,0.0,0.14285714285714285,-0.990563404852698,-0.9997549320951674,-0.2602025548754355,-1.3386521707027565,1.0741220403193912,-0.9608489063914291,-0.6490070321776775,-1.7434585351565857,111,50
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Bates,Danielle Adams,0,0,23,22,1,24,55,0,3,1,1,49,5,2,2,157,14,17,31,18,0,4,0,0,0.44,0.0,1.0,2.23,1.41,0.09,0.09,0.23,0.18181818181818182,-0.5804605477470288,-0.5927951619500571,-0.9807634760689488,-1.284210128743719,0.6328512781932506,-1.065895149363093,-0.07420308592285776,-1.7592284257889212,112,50
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Conn. College,"Head,Charlotte",0,F,22,20,1,12,25,0,0,4,3,27,7,8,6,143,15,16,31,22,0,7,0,0,0.48,0.0,0.75,1.35,1.55,0.3,0.4,0.35,0.35,-0.7978644719958173,-0.5249685335925386,-0.7367025188905006,-1.0492019809538748,0.9270317862773442,-0.41460844293877697,0.2256946251666133,-1.7998128818645422,113,50
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Forman,Madi",0,F,12,8,0,3,10,0,0,0,0,6,8,4,0,42,4,11,15,4,0,1,0,0,0.3,0.0,0.0,0.75,1.88,0.0,0.5,1.0,0.125,-0.9460944203472641,-0.3650914810355311,-1.0853610291454263,-1.363604773267315,-0.3967805001010774,-0.2045159569954493,1.8501405602345822,-1.8090316288481596,114,50
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Conn. College,"Hunter,Addi",0,F,11,21,0,14,42,7,22,6,6,41,4,7,9,215,7,40,47,17,0,10,0,0,0.33,0.32,1.0,1.95,2.24,0.43,0.33,0.19,0.47619047619047616,-0.6496345236443706,-0.19068015097334076,-0.5856171644466995,-0.8728702561643263,-0.17614511903800695,-0.5616731830991064,-0.17416898961934818,-1.9134109807702164,115,49
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Conn. College,"Burns,Avery",0,G,5,13,9,13,39,10,29,2,2,38,0,6,5,151,1,19,20,8,0,11,0,0,0.33,0.34,1.0,2.92,1.54,0.38,0.46,0.0,0.8461538461538461,-0.409996107142865,-0.5298132927609328,-0.6437269161558538,-0.3559035158524423,-0.17614511903800695,-0.28855295137278036,-0.6490070321776775,-1.9198714635157585,116,49
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Amherst,"Bernard,Za'Nyah",0,0,8,11,0,11,39,3,13,17,8,33,0,6,6,94,6,5,11,5,0,8,0,0,0.28,0.23,0.47,3.0,1.0,0.55,0.55,0.0,0.7272727272727273,-0.3902321140293388,-0.791430287854218,-0.44615376034472914,-0.522021541317197,-0.543870754143124,-0.09946971402378536,-0.6490070321776775,-1.953062353012125,117,49
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Carbonaro,Alex",0,,10,14,0,11,39,1,13,17,10,33,4,8,9,141,17,12,29,14,0,14,0,0,0.28,0.08,0.59,2.36,2.07,0.64,0.57,0.29,1.0,-0.5483440589375487,-0.27304105683604185,-0.3415562072682514,-0.1409272476039361,-0.543870754143124,-0.05745121683512001,0.07574576962187773,-1.9554731234860747,118,49
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Conn. College,"Hurley,Catie",0,F,32,25,0,11,35,0,0,25,14,36,8,3,13,282,41,34,75,30,0,9,0,0,0.31,0.0,0.56,1.44,3.0,0.52,0.12,0.32,0.36,-0.7756299797431003,0.17752154582461613,-0.48101961137022176,-1.0352285235177219,-0.3232353730800539,-1.0028674035800946,0.15072019739424558,-1.9572257484365183,119,48
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Bates,Londyn Perry,0,0,1,10,0,7,21,2,9,4,4,20,0,4,8,61,0,7,7,7,0,2,0,0,0.33,0.22,1.0,2.0,0.7,0.8,0.4,0.0,0.2,-0.6372820279484167,-0.9367730629060432,-0.15560500179895767,-1.2588038424961685,-0.17614511903800695,-0.41460844293877697,-0.6490070321776775,-1.9824641820789404,120,48
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Defne Pekinbas,0,0,10,16,0,15,34,0,0,8,6,36,0,4,5,117,10,15,25,8,0,11,0,0,0.44,0.0,0.75,2.25,1.56,0.31,0.25,0.0,0.6875,-0.5755195494686473,-0.5201237744241445,-0.7250805685486698,-0.5775977924837143,0.6328512781932506,-0.7297471718537686,-0.6490070321776775,-1.9926128105041057,121,48
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Wesleyan,"Beighley,Delaney",0,G,3,7,0,2,5,0,2,2,2,6,0,2,1,17,0,1,1,2,0,0,0,0,0.4,0.0,1.0,0.86,0.14,0.14,0.29,0.0,0.0,-0.9189189298161655,-1.2080795763361167,-0.9226537243597944,-1.5382729912192263,0.3386707701091571,-0.6457101774764376,-0.6490070321776775,-2.0947474820766407,122,48
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Wesleyan,"Schnitzer,Aviva",0,G,33,22,12,17,59,4,25,9,5,43,6,11,15,283,11,39,50,17,0,23,0,0,0.29,0.16,0.56,1.95,2.27,0.68,0.5,0.27,1.0454545454545454,-0.6496345236443706,-0.17614587346815833,-0.295068405900928,-0.07741153198505932,-0.4703256271221009,-0.2045159569954493,0.025762817773632634,-2.1782852389542082,123,48
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Bates,Abby Magendantz,0,0,10,13,0,8,20,4,11,6,6,26,1,4,3,75,3,5,8,7,0,3,0,0,0.4,0.36,1.0,2.0,0.62,0.23,0.31,0.08,0.23076923076923078,-0.6372820279484167,-0.9755311362531964,-0.8180561712833166,-1.215808588846467,0.3386707701091571,-0.603691680287772,-0.4490752247846967,-2.1916509239527047,124,47
