season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Connor Natwick,,Third Year,37623,100000,ACTIVE,81.0,9.0,3,77.2015817448267,1,0,0,10.51619821341,-8.24242691703778,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,Dusty Karmin,,Fourth Year,38673,100000,ACTIVE,80.5,8.5,6,78.75938784035,2,0,0,7.16208682879299,-9.53240551538989,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Sewanee,University of the South,Grant Caldwell,,Second Year,3880,100000,ACTIVE,77.0,5.0,2,77.4497596897655,1,0,0,9.8835550443166,-9.40402477484653,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Jacen Trinta,,Second Year,4656,100000,ACTIVE,84.5,12.5,2,85.6714344829335,1,0,0,1.26548262530879,-13.5755101726543,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,Joshua Gitau,,Second Year,4659,100000,ACTIVE,87.0,15.0,2,88.1714344829335,1,0,0,0.677364037788745,-13.5755101726543,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Thomas Price,,Second Year,5235,100000,ACTIVE,78.78,6.78,9,78.3194129820576,3,0,0,9.03787983664353,-8.5747497641183,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Bjorn Lindquist,,Second Year,5236,100000,ACTIVE,75.89,3.89,9,75.2428408220927,3,0,0,18.3026723217968,-7.53546621109614,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Rhodes,Rhodes College,John Gavin,,,6565,100000,ACTIVE,83.0,11.0,3,79.8396499309251,1,0,0,5.43793671808529,-9.21418327189697,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Trinity (TX),Trinity University (Texas),Sam Walker,,Second Year,7266,100000,ACTIVE,72.33,0.33,3,73.5300339939333,1,0,0,26.3324940835772,-8.9043131744447,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Millsaps,Millsaps College,"John Morgan ""Jack"" Ritter",,Second Year,79720,100000,ACTIVE,80.56,8.56,9,79.8525013622089,3,0,0,6.35849015554614,-8.43219823560846,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Berry,Berry College,Andrew Wilkins,,Fourth Year,79936,100000,ACTIVE,87.0,15.0,3,86.1053529950879,1,0,0,1.13538743261113,-9.19047953264484,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Parker Cornish,,Second Year,80294,100000,ACTIVE,81.5,9.5,2,78.4330326439052,1,0,0,7.72957618398555,-8.43959488272588,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Centre,Centre College,Maxwell Holtgrave,,Second Year,80296,100000,ACTIVE,83.5,11.5,2,80.4330326439052,1,0,0,4.68822494217182,-8.43959488272588,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Carson Elder,,Second Year,8422,100000,ACTIVE,74.89,2.89,9,73.4698580594463,3,0,0,30.8739338774201,-7.46348177156962,Region IV - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,Southern Athletic Association,saa,Southwestern (TX),Southwestern University (Texas),Luca Heo,,,8424,100000,ACTIVE,75.33,3.33,3,74.3372358981123,1,0,0,21.5204407701706,-7.23089492371817,Region IV - (M) DIII,clippd_scoreboard
