season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Elizabeth Pearcy,Elizabeth,Pearcy,,722,Elizabeth Pearcy,"PEARCY,ELIZABETH",PEARCYELIZABETHCOAST GU,17,1,,,Coast Guard,COAST GU,1135-3241,0,3,0,0,0,1,5,0,4,1,0,0,0,4,1,0,0,0,0,0,0,0,0,13,0,19,0,60:00,0,0,1.000,,23,29,4,26,11,15,.793,1.53,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Cate Yurko,Cate,Yurko,,722,Cate Yurko,"YURKO,CATE",YURKOCATECOAST GU,17,17,,,Coast Guard,COAST GU,1135-3028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,4,12,963:00,24,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Taylor Thorne,Taylor,Thorne,,722,Taylor Thorne,"THORNE,TAYLOR",THORNETAYLORCOAST GU,17,9,,,Coast Guard,COAST GU,1135-3439,0,0,0,0,0,1,6,0,2,1,0,0,0,3,2,0,0,0,0,0,0,0,0,3,41,16,5,540:00,0,0,1.000,,42,60,5,26,4,22,.700,1.53,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Joely Schaumloffel,Joely,Schaumloffel,,722,Joely Schaumloffel,"SCHAUMLOFFEL,JOELY",SCHAUMLOFFELJOELYCOAST GU,17,17,,,Coast Guard,COAST GU,1135-3440,0,6,0,0,0,5,19,2,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,20,1,37,20,1020:00,0,0,1.000,,81,105,14,71,21,50,.771,4.18,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Rowan Walsh,Rowan,Walsh,,722,Rowan Walsh,"WALSH,ROWAN",WALSHROWANCOAST GU,17,17,,,Coast Guard,COAST GU,1135-2720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,6,24,1020:00,0,0,1.000,,1,1,0,1,0,1,1.000,0.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Reagan Parker,Reagan,Parker,,722,Reagan Parker,"PARKER,REAGAN",PARKERREAGANCOAST GU,10,1,,,Coast Guard,COAST GU,1135-3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,5,1,60:00,0,0,1.000,,3,9,2,3,2,1,.333,0.30,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Kaelyn Krozy,Kaelyn,Krozy,,722,Kaelyn Krozy,"KROZY,KAELYN",KROZYKAELYNCOAST GU,4,0,,,Coast Guard,COAST GU,1135-3441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,15:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,4,81:10,7,9,0,0,0,0,0,0,0,25,5.17,.563
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Lane Donahoe,Lane,Donahoe,,722,Lane Donahoe,"DONAHOE,LANE",DONAHOELANECOAST GU,14,2,,,Coast Guard,COAST GU,1135-3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,2,6,120:00,0,0,1.000,,0,1,1,1,1,0,.000,0.07,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Abby McAllister,Abby,McAllister,,722,Abby McAllister,"MCALLISTER,ABBY",MCALLISTERABBYCOAST GU,17,17,,,Coast Guard,COAST GU,1135-2715,0,16,0,0,0,3,43,0,10,5,0,0,0,8,2,0,0,0,0,0,0,0,0,22,6,32,20,1020:00,0,0,1.000,,111,139,22,126,53,73,.799,7.41,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Hannah Warnke,Hannah,Warnke,,722,Hannah Warnke,"WARNKE,HANNAH",WARNKEHANNAHCOAST GU,17,1,,,Coast Guard,COAST GU,1135-2721,0,3,0,0,0,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,12,3,60:00,0,0,1.000,,30,40,6,19,0,19,.750,1.12,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Cali Morelli,Cali,Morelli,,722,Cali Morelli,"MORELLI,CALI",MORELLICALICOAST GU,3,0,,,Coast Guard,COAST GU,1135-3442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,07:00,52,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,2,21:00,4,3,0,0,0,0,0,0,0,8,11.43,.429
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Katie Kogler,Katie,Kogler,,722,Katie Kogler,"KOGLER,KATIE",KOGLERKATIECOAST GU,0,0,,,Coast Guard,COAST GU,1135-3029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Coast Guard,Kailee Heron,Kailee,Heron,,722,Kailee Heron,"HERON,KAILEE",HERONKAILEECOAST GU,17,16,,,Coast Guard,COAST GU,1135-3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,10,5,982:00,8,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,17,917:50,108,84,0,11,3,0,0,0,0,279,7.06,.438
