season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wabash,Wabash College,Lucas Ranard,,,19715,972,ACTIVE,80.33,8.33,15,79.9643253516849,6,0,0,8.22310004393035,-10.2116684702602,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Daniel Golin,,Third Year,32969,1010,ACTIVE,80.33,8.33,12,79.7244457006409,6,0,0,7.69062085554689,-11.1374570162452,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,DePauw,DePauw University,Ian Perry,,Third Year,34155,1030,ACTIVE,79.29,7.29,14,79.1855698033542,7,0,0,7.5361683855171,-10.8257771742107,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wabash,Wabash College,Coen Bauschek,,Third Year,34189,1095,ACTIVE,78.87,6.87,15,78.9869292017161,7,0,0,6.59075506779833,-11.371855100212,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wittenberg,Wittenberg University,Will Tracey,,Second Year,4716,1135,ACTIVE,79.92,7.92,12,79.2392138006378,6,0,0,6.0760429017462,-10.8620109534159,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wooster,The College of Wooster,Parth Kirloskar,,,17029,1143,ACTIVE,81.25,9.25,12,81.1361159765015,7,1,0,5.94219271884873,-12.9183814766782,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wabash,Wabash College,Jacob Eble,,Second Year,7478,1238,ACTIVE,80.29,8.29,14,80.7013262405803,6,0,0,4.77420587994258,-11.8692469327704,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Ohio Wesleyan,Ohio Wesleyan University,Jacob Spann,,Second Year,5721,1277,ACTIVE,82.33,10.33,12,81.3559357680725,6,0,0,4.27653440269417,-10.8540953846851,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,Wittenberg,Wittenberg University,Isaac Gundolf,,Second Year,4708,1471,ACTIVE,88.42,16.42,12,87.7392138006378,6,0,0,0.977728792882823,-10.8620109534159,Region V - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Coast Athletic Conference,ncac,John Carroll,John Carroll University,Kamden Mowry,,Fourth Year,11627,100000,ACTIVE,76.5,4.5,8,77.3610005719052,4,0,0,10.4066783020086,-12.4180457932607,Region V - (M) DIII,clippd_scoreboard
