season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,composite_score,global_rank,rating
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Pursley, Brylee",Brylee,Pursley,,271,"Pursley, Brylee","PURSLEY, BRYLEE",Hardin-Simmons,HSU,637-3238,30,5,4,0,4,0,-.200,5,1,0,3,0,20,0,2,3,25,0,0,110,8,48,0,0,0,0,2,0,0.00,0.10,1.60,0.00,0.07,0.07,-3.795196837260625,68,57
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Kelley, Liv",Liv,Kelley,,271,"Kelley, Liv","KELLEY, LIV",Hardin-Simmons,HSU,637-3491,1,0,8,0,8,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0.00,0.00,1.00,0.00,0.00,0.00,-3.816914769413086,69,56
2025-26,wvball,American Southwest Conference (ASC),asc,Hardin-Simmons,"Cunningham, Addy",Addy,Cunningham,,271,"Cunningham, Addy","CUNNINGHAM, ADDY",Hardin-Simmons,HSU,637-3492,10,1,17,0,17,0,-.250,4,1,0,6,0,15,0,1,0,22,0,0,17,3,15,0,0,0,0,1,0,0.00,0.60,1.50,0.00,0.10,0.10,-3.924072579986457,70,56
2025-26,wvball,American Southwest Conference (ASC),asc,Mary Hardin-Baylor,"Yates, Addison",Addison,Yates,,1203,"Yates, Addison","YATES, ADDISON",Mary Hardin-Baylor,UMHB,641-6307,7,1,10,0,10,0,-.133,15,4,2,0,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,2.5,0,0.29,0.00,0.00,0.14,0.00,0.36,-4.111396120875088,71,55
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Hammer, Reegan",Reegan,Hammer,,1062,"Hammer, Reegan ","HAMMER, REEGAN ",East Texas Baptist,ETBU,636-4575,9,0,19,0,19,0,.000,0,0,0,0,0,0,0,0,1,9,0,0,8,0,3,0,0,0,0,0,0,0.00,0.00,0.33,0.00,0.00,0.00,-4.3218352280267,72,54
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Kasowski, Sadie",Sadie,Kasowski,,1062,"Kasowski, Sadie","KASOWSKI, SADIE",East Texas Baptist,ETBU,636-4589,65,4,5,0,5,0,-.250,4,1,0,11,2,37,0,7,7,107,0,0,80,5,55,0,0,0,0,7,0,0.00,0.17,0.85,0.00,0.11,0.11,-4.3706424417560115,73,53
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Johnson, Kassidy",Kassidy,Johnson,,2741,"Johnson, Kassidy","JOHNSON, KASSIDY",Howard Payne,HPU,0,1,0,14,0,14,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,-4.570527394209524,74,53
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Waller, Chloe",Chloe,Waller,,2741,"Waller, Chloe","WALLER, CHLOE",Howard Payne,HPU,0,1,0,19,0,19,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,-4.570527394209524,75,52
2025-26,wvball,American Southwest Conference (ASC),asc,East Texas Baptist,"Wilson, Heidi",Heidi,Wilson,,1062,"Wilson, Heidi","WILSON, HEIDI",East Texas Baptist,ETBU,636-5305,14,0,4,0,4,0,-1.000,1,1,0,1,0,4,0,4,2,34,0,0,2,0,5,0,0,0,0,4,0,0.00,0.07,0.36,0.00,0.29,0.29,-6.711145128998602,76,51
2025-26,wvball,American Southwest Conference (ASC),asc,Howard Payne,"Quizon, Ashley",Ashley,Quizon,,2741,"Quizon, Ashley","QUIZON, ASHLEY",Howard Payne,HPU,0,32,2,6,0,6,0,-1.000,2,2,0,6,0,22,0,3,5,53,0,0,76,11,47,0,0,0,0,3,0,0.00,0.19,1.47,0.00,0.09,0.09,-6.740202002437158,77,51
