season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Bradford, Julianne",Julianne,Bradford,0,793,"Bradford, Julianne","Bradford,Julianne",BradfordJulianneWEC,4,1,28,,UW-Eau Claire,WEC,1122-7899,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,12,12,24,.500,1.00,2,0,2,1,,,,,,,,,,,,,,,,,,0,5,2,1,1,0.20,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Schmidt, Tori",Tori,Schmidt,0,793,"Schmidt, Tori","Schmidt,Tori",SchmidtToriWEC,6,2,44,,UW-Eau Claire,WEC,1122-7897,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,5,1,4,2,,,,,,,,,,,,,,,,,,0,17,1,1,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Burke, Kara",Kara,Burke,0,793,"Burke, Kara","Burke,Kara",BurkeKaraWEC,1,0,53,,UW-Eau Claire,WEC,1122-5856,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,3,3,6,.500,1.00,2,0,2,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.00,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Backmann, Alexa",Alexa,Backmann,0,793,"Backmann, Alexa","Backmann,Alexa",BackmannAlexaWEC,4,3,1,,UW-Eau Claire,WEC,1122-5845,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,1,4,180:00,1,35,0000,0,1,0,0,0,0,0,.972,3,0,0,0.33,0,0,0,0,0,0.00,0,0,True,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Freije, Kambelle",Kambelle,Freije,0,793,"Freije, Kambelle","Freije,Kambelle",FreijeKambelleWEC,22,22,29,,UW-Eau Claire,WEC,1122-7898,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,22,1316:05,33,473,31261115611156,9,1,1,0,12,0,0,.935,22,0,0,1.50,0,0,0,0,0,0.00,0,0,True,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Swanson, Tegan",Tegan,Swanson,0,793,"Swanson, Tegan","Swanson,Tegan",SwansonTeganWEC,4,2,30,,UW-Eau Claire,WEC,1122-7586,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,4,119:07,2,17,0000,0,1,1,0,1,0,0,.895,2,0,0,1.01,0,0,0,0,0,0.00,0,0,True,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-Eau Claire,"Moudry, Addison",Addison,Moudry,0,793,"Moudry, Addison","Moudry,Addison",MoudryAddisonWEC,2,1,34,,UW-Eau Claire,WEC,1122-7953,0,,0,0,0,0,0,0,0,0,0,0,00:00,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,2,60:00,0,9,0000,1,1,0,0,0,0,0,1.000,1,0,0,0.00,0,0,0,0,0,0.00,0,0,True,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-River Falls,"Pool, Sami",Sami,Pool,0,801,"Pool, Sami","Pool,Sami",PoolSamiWRF,16,0,2,,UW-River Falls,WRF,1138-3557,0,,0,0,0,1,1,0,0,0,0,2,04:00,0,0,0,0,0,0,2,0,0,0,NaN,0,18,2,16,4,,,,,,,,,,,,,,,,,,0,51,8,6,2,0.04,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-River Falls,"Kadrlik, Madison",Madison,Kadrlik,0,801,"Kadrlik, Madison","Kadrlik,Madison",KadrlikMadisonWRF,29,0,3,,UW-River Falls,WRF,1138-3341,0,,0,1,0,3,1,0,3,3,1,2,04:00,0,0,0,0,0,0,2,1,4,5,.200,4.00,30,6,24,10,,,,,,,,,,,,,,,,,,0,92,23,10,13,0.14,0,0,False,,
2025-26,whockey,Wisconsin Intercollegiate Athletic Conference (WIAC),wiac,UW-River Falls,"Riley, Brooklyn",Brooklyn,Riley,0,801,"Riley, Brooklyn","Riley,Brooklyn",RileyBrooklynWRF,29,22,4,,UW-River Falls,WRF,1138-3900,0,,0,0,0,0,0,0,5,1,0,3,06:00,0,0,0,0,0,0,3,0,0,0,NaN,0,39,5,34,11,,,,,,,,,,,,,,,,,,0,81,24,19,5,0.06,0,0,False,,
