conference_code,conference,season,team,player_name,first_name,last_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,class_year,position,mp_total,pts_total,reb_total,ast_total,stl_total,blk_total,tov_total,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,J Wyatt-Taylor,J,Wyatt-Taylor,23,7.4,4.2,1.5,0.6,0.1,0.1,0.7,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,J Nelson,J,Nelson,25,24.1,4.2,1.9,1.9,0.6,0.1,1.0,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Alfred St.,J Howard,J,Howard,26,17.7,4.1,2.9,0.7,0.3,0.7,0.7,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Behrend,J Jenisch,J,Jenisch,27,14.0,4.1,2.1,0.3,0.4,0.1,0.6,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Mt. Aloysius,D Carr,D,Carr,19,11.3,4.0,1.6,0.9,0.4,0.0,1.3,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Penn St.-Altoona,M Kargo,M,Kargo,25,25.9,4.0,2.6,4.5,1.7,0.1,2.0,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,T Freas,T,Freas,27,8.6,4.0,0.6,0.1,0.6,0.0,0.2,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Carlow,B Beard,B,Beard,24,14.1,3.9,1.9,0.5,0.5,0.2,1.4,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Hilbert,D Robinson,D,Robinson,21,14.1,3.8,3.8,1.1,0.7,0.2,0.7,,,,,,,,,,,,,,,,,,
amcc,Allegheny Mountain Collegiate Conference (AMCC),2025-26,Pitt.-Greensburg,J Collins,J,Collins,27,10.6,3.6,2.1,0.8,0.6,0.1,0.5,,,,,,,,,,,,,,,,,,
