rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
100,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Saint Joseph's (Maine),J Freeman,20,10.3,3.5,1.5,0.6,0.3,0.1,0.5,-3.1905829391206764,-1.0083118387244274,-1.1876391831416224,-0.7923225177992841,-1.081724631303723,-0.6067950013804161,-1.320342181661103
101,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,A Blunt,25,19.8,4.7,2.3,0.6,0.3,0.4,1.6,-3.2393010430835547,-0.7665328715084363,-0.7868389164392143,-0.7923225177992841,-1.081724631303723,0.23919305033667865,0.2244456320202634
102,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Emmanuel,C Hanavan,20,10.9,3.8,0.9,0.5,0.1,0.1,0.3,-3.309660109063631,-0.9478670969204297,-1.4882393831684286,-0.8829661561992022,-1.4633093831336978,-0.6067950013804161,-1.601212693239533
103,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Elms,J Lawson,24,13.5,3.8,2.7,1.0,0.5,0.0,1.4,-3.356390462342259,-0.9478670969204297,-0.5864387830880101,-0.4297479641996117,-0.7001398794737482,-0.8887910186194476,-0.05642487955816705
104,gnac,Great Northeast Athletic Conference (GNAC),2025-26,New England College,K Emadamerho,25,20.8,3.6,2.8,1.2,0.4,0.1,1.6,-3.4541069229186325,-0.9881635914564283,-0.5363387497502092,-0.24846068739977553,-0.8909322553887357,-0.6067950013804161,0.2244456320202634
105,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Mitchell,L Sward,22,13.9,3.4,1.4,0.9,0.4,0.0,0.8,-3.458244250909446,-1.0284600859924267,-1.2377392164794234,-0.5203916025995298,-0.8909322553887357,-0.8887910186194476,-0.8990364142934575
106,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,D Bogre,24,10.9,2.0,1.4,0.6,0.9,0.1,0.7,-3.482419662014897,-1.3105355477444163,-1.2377392164794234,-0.7923225177992841,0.0630296241862014,-0.6067950013804161,-1.0394716700826727
107,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Regis,R Johnson,23,13.0,3.4,2.3,0.3,0.3,0.0,0.8,-3.6187135101184498,-1.0284600859924267,-0.7868389164392143,-1.0642534329990383,-1.081724631303723,-0.8887910186194476,-0.8990364142934575
108,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,T Edmonds,25,24.3,5.3,2.8,2.0,0.6,0.0,2.9,-3.672194433679482,-0.6456433879004407,-0.5363387497502092,0.4766884197995693,-0.5093475035587609,-0.8887910186194476,2.0501039572800597
109,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,N Nordberg,21,12.5,3.1,0.9,0.3,0.4,0.0,0.4,-3.685794313953913,-1.0889048277964246,-1.4882393831684286,-1.0642534329990383,-0.8909322553887357,-0.8887910186194476,-1.4607774374503182
110,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Dean,M Berete,20,13.2,2.9,2.2,0.3,0.2,0.1,0.8,-3.8096641854728808,-1.1292013223324229,-0.8369389497770152,-1.0642534329990383,-1.2725170072187106,-0.6067950013804161,-0.8990364142934575
111,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Norwich,N Hutchinson,23,14.2,2.4,1.7,0.9,0.2,0.3,1.1,-3.860842090210606,-1.2299425586724193,-1.0874391164660202,-0.5203916025995298,-1.2725170072187106,-0.04280296690235301,-0.47773064692581213
112,gnac,Great Northeast Athletic Conference (GNAC),2025-26,Colby-Sawyer,D De Moor,22,11.3,2.8,1.1,0.6,0.3,0.1,0.8,-3.9499831081126255,-1.1493495696004223,-1.3880393164928264,-0.7923225177992841,-1.081724631303723,-0.6067950013804161,-0.8990364142934575
