season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats,penalty_stats,misc_stats,goalie_stats,shot_stats,avg_points_game,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,composite_score,global_rank,rating
2025-26,wlax,Landmark Conference,landmark_conference,Drew,Kristina Lowe,Kristina,Lowe,,190,Kristina Lowe,"LOWE,KRISTINA",LOWEKRISTINADREW,16,12,,,Drew,DREW,0,,,,,,1.69,0,4,0,0,0,0,11,0,0,1,0,0,0,14,4,0,0,0,0,0,0,0,0,38,40,18,23,769:00,99,0,1.000,43,62,13,27,8,19,.694,,,,,,,,,,,,,,,5.072387209725719,31,92
2025-26,wlax,Landmark Conference,landmark_conference,Lycoming,Kailey Stocker,Kailey,Stocker,,373,Kailey Stocker,"STOCKER,KAILEY",STOCKERKAILEYLYCOW,16,16,,,Lycoming,LYCOW,0,,,,,,2.31,0,4,0,0,0,3,10,0,7,3,0,0,0,2,2,0,0,0,0,0,0,0,0,24,1,25,10,992:00,30,0,1.000,48,62,9,37,5,32,.774,,,,,,,,,,,,,,,4.576022738446693,32,92
2025-26,wlax,Landmark Conference,landmark_conference,Catholic,Madeline McDevitt,Madeline,McDevitt,,124,Madeline McDevitt,"MCDEVITT,MADELINE",MCDEVITTMADELINECUA,18,12,,,Catholic,CUA,0,,,,,,1.78,0,3,0,0,0,0,16,1,1,0,0,0,0,7,2,0,0,0,0,0,0,0,0,21,23,17,19,759:00,103,0,1.000,46,66,13,32,8,24,.697,,,,,,,,,,,,,,,4.5402947085562015,33,91
2025-26,wlax,Landmark Conference,landmark_conference,Juniata,Kelliann Drummond,Kelliann,Drummond,,325,Kelliann Drummond,"DRUMMOND,KELLIANN",DRUMMONDKELLIANNJUNIATA,18,18,,,Juniata,JUNIATA,0,,,,,,2.11,0,4,0,0,0,2,15,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,41,6,1079:00,48,0,1.000,50,58,7,38,18,20,.862,,,,,,,,,,,,,,,4.3918907583664595,34,91
2025-26,wlax,Landmark Conference,landmark_conference,Goucher,Molly Smith,Molly,Smith,,1467,Molly Smith,"SMITH,MOLLY",SMITHMOLLYGOU,17,17,,,Goucher,GOU,0,,,,,,1.71,0,4,0,0,0,0,10,1,3,1,0,0,0,4,1,0,0,0,0,0,0,0,0,28,71,32,15,1018:00,52,0,1.000,30,41,12,29,14,15,.732,,,,,,,,,,,,,,,4.290137084290462,35,91
2025-26,wlax,Landmark Conference,landmark_conference,Elizabethtown,Megan Gress,Megan,Gress,,211,Megan Gress,"GRESS,MEGAN",GRESSMEGANETOWN,17,4,,,Elizabethtown,ETOWN,0,,,,,,2.24,0,2,0,0,0,0,13,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,12,1,47,6,240:00,0,0,1.000,45,61,10,38,23,15,.738,,,,,,,,,,,,,,,4.198814273757019,36,91
2025-26,wlax,Landmark Conference,landmark_conference,Susquehanna,Allie Kutler,Allie,Kutler,,685,Allie Kutler,"KUTLER,ALLIE",KUTLERALLIESUSQU-W,19,19,,,Susquehanna,SUSQU-W,0,,,,,,1.74,0,5,0,0,0,2,15,1,1,1,0,0,0,20,1,0,0,0,0,0,0,0,0,15,92,32,11,1140:00,99,0,1.000,67,88,9,33,5,28,.761,,,,,,,,,,,,,,,3.592816246371223,37,91
2025-26,wlax,Landmark Conference,landmark_conference,Moravian,Kathryn Hunsinger,Kathryn,Hunsinger,,443,Kathryn Hunsinger,"HUNSINGER,KATHRYN",HUNSINGERKATHRYNMOR,18,13,,,Moravian,MOR,0,,,,,,1.89,0,3,0,0,0,1,10,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,29,15,9,823:00,134,0,1.000,46,62,4,34,5,29,.742,,,,,,,,,,,,,,,3.5659692703720567,38,90
2025-26,wlax,Landmark Conference,landmark_conference,Susquehanna,Abby Andrus,Abby,Andrus,,685,Abby Andrus,"ANDRUS,ABBY",ANDRUSABBYSUSQU-W,18,18,,,Susquehanna,SUSQU-W,0,,,,,,2.22,0,3,0,0,0,3,3,1,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,11,2,1080:00,99,0,1.000,57,78,5,40,2,38,.731,,,,,,,,,,,,,,,3.4893531379828246,39,90
2025-26,wlax,Landmark Conference,landmark_conference,Drew,Emily Monaco,Emily,Monaco,,190,Emily Monaco,"MONACO,EMILY",MONACOEMILYDREW,16,16,,,Drew,DREW,0,,,,,,1.00,0,0,0,0,0,0,4,0,1,0,0,0,0,3,7,0,0,0,0,0,0,0,0,32,51,37,23,983:00,131,0,1.000,14,25,1,16,6,10,.560,,,,,,,,,,,,,,,3.089636962533519,40,90
