season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Evans,Saige",Saige,Evans,F,1133,"Evans,Saige","EVANS,SAIGE",Husson ,HUS,1201-4169,26,26,22,0,170,379,5,25,100,78,423,18,39,43,818,107,149,256,51,0,49,0,0,26,0.45,0.20,0.78,16.27,9.85,1.65,1.50,0.69,22
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Farrar,Laney",Laney,Farrar,G,1133,"Farrar,Laney","FARRAR,LANEY",Husson ,HUS,1201-4369,24,0,23,0,11,37,0,2,7,5,27,4,15,26,262,13,21,34,49,0,17,2,0,24,0.30,0.00,0.71,1.13,1.42,1.08,0.63,0.17,23
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Carnes,Sophia",Sophia,Carnes,G,1133,"Carnes,Sophia","CARNES,SOPHIA",Husson ,HUS,1201-4367,26,3,24,0,68,202,49,155,8,6,191,3,38,60,579,13,48,61,34,0,46,0,0,26,0.34,0.32,0.75,7.35,2.35,2.31,1.46,0.12,24
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Johnson,Jada",Jada,Johnson,G,1133,"Johnson,Jada","JOHNSON,JADA",Husson ,HUS,1201-4368,1,0,25,0,3,7,0,2,2,2,8,0,1,1,22,0,2,2,2,0,3,0,0,1,0.43,0.00,1.00,8.00,2.00,1.00,1.00,0.00,25
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Martinez,Laela",Laela,Martinez,G,1133,"Martinez,Laela","MARTINEZ,LAELA",Husson ,HUS,1201-3351,26,26,32,0,73,218,31,85,50,31,208,0,55,91,787,23,72,95,54,0,79,1,0,26,0.33,0.36,0.62,8.00,3.65,3.50,2.12,0.00,32
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Carnes,Sydney",Sydney,Carnes,G,1133,"Carnes,Sydney","CARNES,SYDNEY",Husson ,HUS,0,15,0,12,0,6,15,4,12,0,0,16,0,4,2,58,1,5,6,3,0,1,0,0,15,0.40,0.33,0.00,1.07,0.40,0.13,0.27,0.00,12
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Lorenz,Savannah",Savannah,Lorenz,F,1133,"Lorenz,Savannah","LORENZ,SAVANNAH",Husson ,HUS,0,21,0,34,0,10,32,0,0,27,18,38,3,7,3,163,39,18,57,14,0,15,0,0,21,0.31,0.00,0.67,1.81,2.71,0.14,0.33,0.14,34
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Quintal,Keira",Keira,Quintal,F,30065,"Quintal,Keira","QUINTAL,KEIRA",VTSU Lyndon,NVU-L,804-1500,25,0,02,0,38,126,0,1,52,27,103,41,16,8,389,68,90,158,57,0,42,3,0,25,0.30,0.00,0.52,4.12,6.32,0.32,0.64,1.64,02
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Whitcomb,Kadienne",Kadienne,Whitcomb,G,30065,"Whitcomb,Kadienne","WHITCOMB,KADIENNE",VTSU Lyndon,NVU-L,804-1348,26,25,03,0,67,211,54,183,14,10,198,6,19,45,768,16,104,120,33,0,29,0,0,26,0.32,0.30,0.71,7.62,4.62,1.73,0.73,0.23,03
2025-26,wbball,North Atlantic Conference (NAC),nac,VTSU Lyndon,"Huntington,Ella",Ella,Huntington,G,30065,"Huntington,Ella","HUNTINGTON,ELLA",VTSU Lyndon,NVU-L,804-1430,23,22,05,0,71,186,11,50,78,53,206,4,37,108,643,25,76,101,60,1,95,3,0,23,0.38,0.22,0.68,8.96,4.39,4.70,1.61,0.17,05
