rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
16,nac,North Atlantic Conference (NAC),2025-26,Maine Maritime,"Schade,Marcus",0,G,21,31.095238095238095,14.95,3.76,2.38,2.0,0.05,1.9523809523809523,3.157310121840811,1.2036917941425762,-0.008457786666074295,0.6561596870773329,2.1590124765595347,-0.7200289796564874,0.528695681479682
17,nac,North Atlantic Conference (NAC),2025-26,UMaine-Farmington,Gabe Michaud,0,*,27,33.7037037037037,7.7,4.04,6.11,1.41,0.3,1.7777777777777777,2.800131891620466,-0.1662870924404187,0.11759051784121907,4.039766552697312,1.0199291168283229,-0.08083539118812093,0.30873841961971205
18,nac,North Atlantic Conference (NAC),2025-26,SUNY Delhi,"Harvey,Kai",0,G,25,28.84,11.92,3.12,4.6,2.28,0.16,3.04,2.535010985177686,0.6311351008534074,-0.29656819696845876,2.6699954087063817,2.699594409991296,-0.4387838007304061,1.8988294617201498
19,nac,North Atlantic Conference (NAC),2025-26,Maine Maritime,"Pensel,Aaron",0,F,26,28.346153846153847,11.42,7.0,1.5,1.08,1.31,2.576923076923077,2.378684128229354,0.5366537983304422,1.4501011654897478,-0.14211753591075857,0.3828146952837473,2.50150670622408,1.3154658873634213
20,nac,North Atlantic Conference (NAC),2025-26,Lesley,Ryan Ellis,0,0,25,27.96,6.8,8.2,2.04,0.8,1.28,1.36,2.2714885073289355,-0.33635343698175607,1.9903081848067188,0.3477343963773885,-0.1577672381480141,2.424803475607876,-0.2175593196670523
21,nac,North Atlantic Conference (NAC),2025-26,Husson ,"McCauley,Andre",0,G,22,26.772727272727273,14.68,3.82,2.86,0.77,0.36,2.272727272727273,2.2650783785137074,1.1526718907801752,0.018552564299774286,1.091583626889019,-0.21568673101570288,0.07257107004428702,0.9322536329913629
22,nac,North Atlantic Conference (NAC),2025-26,VTSU Lyndon,"Doyle,Matt",0,F,25,27.88,10.76,8.6,0.64,0.6,0.6,1.2,2.1040105125332698,0.41193847900012814,2.1703771912457093,-0.9222520947400299,-0.5438971905992723,0.6861969149739189,-0.41912015598964314
23,nac,North Atlantic Conference (NAC),2025-26,VTSU Johnson,"Carter,Matthew",0,G,13,30.923076923076923,14.62,4.54,1.31,0.92,0.31,1.8461538461538465,1.9958321397933754,1.1413341344774193,0.34267677588995704,-0.314472845419551,0.07391073332274076,-0.05526764764938625,0.3948755291592812
24,nac,North Atlantic Conference (NAC),2025-26,Maine Maritime,"Hamilton,Drew",0,G,26,32.76923076923077,16.0,2.23,1.5,1.15,0.12,1.8846153846153848,1.8504581475953672,1.4021025294408032,-0.6972217362952123,-0.14211753591075857,0.5179601786416873,-0.5410547748853448,0.44332765327528845
25,nac,North Atlantic Conference (NAC),2025-26,Lesley,CJ Leonard,0,*,23,19.47826086956522,13.48,5.74,0.91,0.87,0.26,1.6956521739130437,1.7286356273078296,0.9259167647250588,0.8828837952069283,-0.6773261285959563,-0.022621754790073854,-0.18310636534305952,0.20528026087925222
26,nac,North Atlantic Conference (NAC),2025-26,UMaine-Farmington,Charlie Houghton,0,*,27,24.074074074074073,10.89,5.0,2.48,1.19,0.11,1.6666666666666667,1.6599169661881592,0.43650361765609924,0.549756133294796,0.7468730078714343,0.595186169131939,-0.5666225184240795,0.16876561661791314
27,nac,North Atlantic Conference (NAC),2025-26,UMaine-Presque Isle,"Enget,Tyson",0,G,28,32.035714285714285,9.71,3.86,2.89,1.25,0.18,1.3214285714285714,1.610413772399352,0.21352774370190145,0.03655946494367334,1.1187976231272498,0.7110251548673165,-0.38764831365293684,-0.2661498784233913
28,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Godley,Isaiah",0,G,25,23.36,11.12,6.28,1.4,0.68,0.72,1.92,1.4965917296099907,0.4799650168166629,1.1259769538995652,-0.23283085670485998,-0.38944520961876894,0.9930098374387347,0.4879036074620149
29,nac,North Atlantic Conference (NAC),2025-26,UMaine-Farmington,Kory Donlin,0,0,25,25.84,13.08,2.56,1.16,0.68,0.6,1.28,1.4042657455380028,0.8503317227066867,-0.5486648059830453,-0.4505428266107031,-0.38944520961876894,0.6861969149739189,-0.31833973782834774
30,nac,North Atlantic Conference (NAC),2025-26,SUNY Delhi,"Tagios,Jason",0,F,25,25.52,8.92,6.2,1.08,0.76,0.72,1.04,1.4008424382373024,0.06424728571561629,1.0899631526117672,-0.5231134832459841,-0.2349932286382658,0.9930098374387347,-0.6206809923122337
31,nac,North Atlantic Conference (NAC),2025-26,SUNY Cobleskill,"Morel,Rowan",0,F,17,19.235294117647054,7.76,4.53,1.82,1.06,1.35,1.8823529411764703,1.1521470942232077,-0.15494933613766296,0.3381750507289824,0.14816509063036568,0.34420170003862144,2.6037776803790185,0.4404775283272874
32,nac,North Atlantic Conference (NAC),2025-26,UMaine-Farmington,St pierre Brayden,0,*,27,29.0,6.89,4.3,2.74,1.0,0.37,0.9629629629629628,0.9508943105765355,-0.3193468025276224,0.23463537202656273,0.9827276419360979,0.22836271430324392,0.0981388135830217,-0.7177288023934814
33,nac,North Atlantic Conference (NAC),2025-26,SUNY Cobleskill,"Nabli,Emilio",0,G,15,20.133333333333333,10.47,2.53,2.53,1.4,0.47,2.2,0.8800318051022022,0.3571393235368085,-0.5621699814659696,0.7922296682684847,1.00062261920576,0.35381624897036823,0.8406350710265489
34,nac,North Atlantic Conference (NAC),2025-26,SUNY Delhi,"Madera,Adan",0,G,25,26.8,13.4,5.36,0.56,0.76,0.44,2.32,0.8511116902861283,0.9107997563213844,0.7118182390898874,-0.9948227513753108,-0.2349932286382658,0.27711301835416435,0.9918056982684915
35,nac,North Atlantic Conference (NAC),2025-26,Husson ,"Burpee,Dylan",0,F,26,22.73076923076923,5.85,4.54,1.31,1.42,0.81,0.8461538461538461,0.8110882579331496,-0.5158679117753899,0.34267677588995704,-0.314472845419551,1.0392356144508859,1.223119529287347,-0.864879697856911
36,nac,North Atlantic Conference (NAC),2025-26,UMaine-Presque Isle,"Williams,Dwaine",0,F,13,26.53846153846154,8.69,4.31,1.08,0.92,0.23,0.6153846153846154,0.6743128255932945,0.020785886555052233,0.2391370971875374,-0.5231134832459841,0.07391073332274076,-0.2598095959592635,-1.1555924425529551
37,nac,North Atlantic Conference (NAC),2025-26,Lesley,Ethan Arnold,0,0,23,23.73913043478261,10.74,3.78,1.13,0.52,0.17,0.9565217391304348,0.5071625622054667,0.4081592268992096,0.0005456636558752321,-0.4777568228489335,-0.6983491715797755,-0.4132160571916714,-0.7258431677848898
38,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Mohamud,Yasmo",0,F,23,23.08695652173913,10.48,4.0,2.17,0.65,0.17,1.7391304347826086,0.47539746894339074,0.3590289495872677,0.09958361719732002,0.4656617134097201,-0.4473647024864577,-0.4132160571916714,0.2600522272712602
39,nac,North Atlantic Conference (NAC),2025-26,VTSU Johnson,"Gargiulo,Joseph",0,G,15,26.866666666666667,11.53,2.53,2.07,1.13,0.0,1.8666666666666667,0.46299067098202257,0.5574396848854944,-0.5621699814659696,0.37494839261561874,0.4793471833965615,-0.8478676973501607,0.42071666202115143
40,nac,North Atlantic Conference (NAC),2025-26,VTSU Johnson,"Brown,Jaylen",0,G,23,26.52173913043478,10.48,4.43,1.09,1.7,0.04,2.217391304347826,0.2905141790184288,0.3590289495872677,0.29315779911923456,-0.5140421511665739,1.5798175478826473,-0.7455967231952221,0.8625438575833521
41,nac,North Atlantic Conference (NAC),2025-26,Husson ,"Smith,Christian",0,G,23,23.217391304347824,8.7,2.43,3.17,1.09,0.3,2.0434782608695654,0.2271545142503738,0.022675512605511497,-0.6071872330757171,1.3727949213507333,0.4021211929063102,-0.08083539118812093,0.6434559920153189
42,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Mitchell,Payton",0,G,25,25.68,5.12,6.24,2.12,1.32,0.36,1.56,0.19402882101582022,-0.653810613458919,1.1079700532556662,0.4203050530126696,0.8461706382252571,0.07257107004428702,0.034391725736186006
43,nac,North Atlantic Conference (NAC),2025-26,SUNY Cobleskill,"Chung,Chrischen",0,G,26,25.115384615384617,8.92,3.04,2.58,0.62,0.12,1.3076923076923077,0.18559148436984005,0.06424728571561629,-0.33258199825625684,0.8375863286655356,-0.5052841953541465,-0.5410547748853448,-0.28345420846482244
44,nac,North Atlantic Conference (NAC),2025-26,SUNY Cobleskill,"Rhode,Cameron",0,F,26,21.115384615384617,7.96,4.96,1.54,0.65,0.42,1.5384615384615383,-0.05267212730636715,-0.11715681512847684,0.5317492326508969,-0.10583220759311802,-0.4473647024864577,0.22597753127669498,0.007258536231221636
45,nac,North Atlantic Conference (NAC),2025-26,SUNY Delhi,"Colin,Noah",0,G,23,28.956521739130434,7.48,3.74,2.13,1.13,0.17,1.7391304347826086,-0.30235334614277065,-0.20785886555052333,-0.017461236988023623,0.4293763850920796,0.4793471833965615,-0.4132160571916714,0.2600522272712602
46,nac,North Atlantic Conference (NAC),2025-26,UMaine-Presque Isle,"Ishibashi,Yuki",0,G,28,23.714285714285715,9.68,3.64,2.0,0.68,0.0,1.8214285714285712,-0.31964150482779796,0.20785886555052333,-0.062478488597771255,0.311449068059748,-0.38944520961876894,-0.8478676973501607,0.36372773508470435
47,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Desimone,Jayden",0,G,26,20.576923076923077,9.54,1.81,0.88,1.0,0.08,0.9230769230769232,-0.3438769785036542,0.18140410084409297,-0.8862941930561522,-0.7045401248341867,0.22836271430324392,-0.6433257490402834,-0.7679754496248961
