conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Azzun,Michelle",0,,04,9,0,0,6,0,5,2,2,2,0,1,1,27,0,7,7,2,0,3,0,0,0.00,0.00,1.00,0.22,0.78,0.11,0.11,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Cuthbertson,Kayla",0,,30,8,0,0,2,0,2,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Trinity,"Boone,Hannah",0,F,14,5,0,1,4,0,0,0,0,2,0,0,0,10,1,0,1,1,0,2,0,0,0.25,0.00,0.00,0.40,0.20,0.00,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Galanes,Stella",0,G,03,25,0,57,152,20,63,63,50,184,3,15,12,489,16,23,39,35,0,31,0,0,0.38,0.32,0.79,7.36,1.56,0.48,0.60,0.12
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Kolkhorst,Claire",0,G,04,25,25,76,187,44,118,13,8,204,4,44,23,701,26,72,98,56,0,39,0,0,0.41,0.37,0.62,8.16,3.92,0.92,1.76,0.16
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Steel,Maddy",0,G,05,7,0,7,16,3,11,2,1,18,0,1,0,48,1,3,4,2,0,4,0,0,0.44,0.27,0.50,2.57,0.57,0.00,0.14,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Nardone,Hope",0,F,10,4,0,1,2,0,1,2,1,3,0,0,1,21,0,1,1,0,0,1,0,0,0.50,0.00,0.50,0.75,0.25,0.25,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Congdon,Abby",0,G,11,25,25,92,235,29,88,60,44,257,6,44,47,847,22,80,102,67,0,50,2,0,0.39,0.33,0.73,10.28,4.08,1.88,1.76,0.24
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Aspesi,Annie",0,G,12,25,25,79,216,41,117,40,31,230,4,26,40,756,43,80,123,37,0,41,0,0,0.37,0.35,0.78,9.20,4.92,1.60,1.04,0.16
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Lozner,Tessa",0,G,15,25,25,124,260,11,57,97,64,323,3,25,57,798,15,89,104,47,0,70,0,0,0.48,0.19,0.66,12.92,4.16,2.28,1.00,0.12
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Stapleton,Siobhan",0,F,20,25,12,13,41,2,11,14,3,31,5,9,48,438,21,55,76,47,0,26,0,0,0.32,0.18,0.21,1.24,3.04,1.92,0.36,0.20
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Davis,Sophia",0,G,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Ryan,Annie",0,G,22,24,0,24,72,13,41,15,12,73,5,20,12,324,10,23,33,37,0,12,1,0,0.33,0.32,0.80,3.04,1.38,0.50,0.83,0.21
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Nelson,Hazel",0,F,24,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Crossett,Sarah",0,F,30,23,13,47,125,0,1,38,31,125,3,18,35,390,28,60,88,53,0,33,1,0,0.38,0.00,0.82,5.43,3.83,1.52,0.78,0.13
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,"Stone,Abi",0,F,32,20,0,52,98,1,4,39,21,126,1,8,8,233,18,32,50,33,0,31,0,0,0.53,0.25,0.54,6.30,2.50,0.40,0.40,0.05
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Tufts,Emma Heckman,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Jess Roy,0,0,01,16,0,5,21,5,19,0,0,15,0,2,3,83,6,3,9,11,0,6,0,0,0.24,0.26,0.00,0.94,0.56,0.19,0.13,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Hannah Surrette,0,0,02,10,0,3,9,1,4,2,2,9,0,1,1,33,1,3,4,7,0,5,0,0,0.33,0.25,1.00,0.90,0.40,0.10,0.10,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Amaya Chase-Luthra,0,0,03,24,14,40,107,9,28,22,18,107,0,19,13,330,9,25,34,26,0,23,1,0,0.37,0.32,0.82,4.46,1.42,0.54,0.79,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Sarah Pettegrove,0,*,04,23,2,31,94,7,27,10,4,73,11,9,59,430,11,46,57,34,0,37,0,0,0.33,0.26,0.40,3.17,2.48,2.57,0.39,0.48
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Hanorah Murphy,0,0,05,26,24,73,198,2,14,31,23,171,14,14,20,619,19,47,66,35,0,35,1,0,0.37,0.14,0.74,6.58,2.54,0.77,0.54,0.54
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Gracie Augustine,0,0,10,21,1,26,75,10,35,2,1,63,1,5,21,253,14,23,37,18,0,11,0,0,0.35,0.29,0.50,3.00,1.76,1.00,0.24,0.05
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Micah Walton,0,*,11,26,26,153,350,12,35,99,72,390,0,47,72,967,22,108,130,51,0,69,0,0,0.44,0.34,0.73,15.00,5.00,2.77,1.81,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Evelyn Walcott,0,0,14,25,0,27,58,0,0,36,20,74,15,8,10,286,17,50,67,35,0,21,2,0,0.47,0.00,0.56,2.96,2.68,0.40,0.32,0.60
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Logan Coster,0,*,20,26,17,75,220,19,58,52,28,197,13,21,36,621,39,78,117,54,0,49,2,0,0.34,0.33,0.54,7.58,4.50,1.38,0.81,0.50
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Sarah Batra,0,0,23,13,0,2,11,0,3,2,2,6,0,0,4,55,0,5,5,4,0,6,0,0,0.18,0.00,1.00,0.46,0.38,0.31,0.00,0.00
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Kathleen Smith,0,0,24,26,24,138,234,0,0,71,49,325,21,26,35,847,102,121,223,53,0,47,1,0,0.59,0.00,0.69,12.50,8.58,1.35,1.00,0.81
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Skylar Chui,0,0,25,17,10,16,41,1,10,16,8,41,8,15,5,226,10,29,39,35,0,14,2,0,0.39,0.10,0.50,2.41,2.29,0.29,0.88,0.47
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Mairi Smith,0,*,30,14,2,15,33,0,3,5,4,34,6,3,8,130,6,34,40,12,0,4,0,0,0.45,0.00,0.80,2.43,2.86,0.57,0.21,0.43
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Tatum Leuenberger,0,*,33,16,10,24,77,9,33,6,5,62,10,15,19,345,17,44,61,34,0,23,0,0,0.31,0.27,0.83,3.88,3.81,1.19,0.94,0.63
