season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,is_goalie,game,goalie_stats,composite_score,global_rank,rating
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Middlebury,"Gordon, Olivia",Olivia,Gordon,0,420,"Gordon, Olivia","Gordon,Olivia",GordonOliviaMID,26,6,33,,Middlebury,MID,1126-6038,0,,0,0,0,1,0,0,3,0,0,7,14:00,0,0,0,0,0,0,7,10,5,15,.667,0.50,12,8,4,4,,,,,,,,,,,,,,,,,,0,47,13,7,6,0.13,0,0,False,,,3.333331939551904,31,91
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Williams,"Murphy, Claire",Claire,Murphy,0,789,"Murphy, Claire","Murphy,Claire",MurphyClaireWIL,23,18,6,,Williams,WIL,1131-5045,0,,0,0,0,0,0,0,1,0,0,3,06:00,0,0,0,0,0,0,3,0,0,0,NaN,0,25,11,14,32,,,,,,,,,,,,,,,,,,0,102,13,9,4,0.04,0,0,False,,,3.1348212462980154,32,91
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Colby,Beth Sinson,Beth,Sinson,0,151,Beth Sinson,"SINSON,BETH",SINSONBETHCOLBY,26,15,14,,Colby,COLBY,0,0,,0,0,0,1,0,0,0,1,0,0,00:00,0,0,0,0,0,0,0,335,186,521,.643,0.56,18,6,12,5,,,,,,,,,,,,,,,,,,0,66,13,10,3,0.05,0,0,False,,,3.035565899671071,33,91
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Trinity,"Al-Kadiri, Meena",Meena,Al-Kadiri,0,713,"Al-Kadiri, Meena","Al-Kadiri,Meena",Al-KadiriMeenaTRI,25,3,17,,Trinity,TRI,1127-5659,0,,0,0,0,1,0,0,3,1,0,18,39:00,0,0,0,0,0,1,17,2,2,4,.500,1.00,8,16,-8,11,,,,,,,,,,,,,,,,,,0,64,12,5,7,0.11,0,0,False,,,2.9928615620595362,34,91
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Hamilton,"Bullock, Lydia",Lydia,Bullock,0,267,"Bullock, Lydia","Bullock,Lydia",BullockLydiaHAM,24,23,16,,Hamilton,HAM,0,0,,0,0,0,3,1,1,0,1,0,8,16:00,0,0,0,0,0,0,8,11,7,18,.611,0.64,16,12,4,15,,,,,,,,,,,,,,,,,,0,65,12,6,6,0.09,0,0,False,,,2.893606215432592,35,90
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Amherst,Natalie Fu,Natalie,Fu,0,24,Natalie Fu,"FU,NATALIE",FUNATALIEAMHERST,29,11,7,,Amherst,AMHERST,0,0,,0,1,0,1,0,0,1,2,0,3,06:00,0,0,0,0,0,0,3,2,3,5,.400,1.50,12,4,8,25,,,,,,,,,,,,,,,,,,0,57,12,7,5,0.09,0,0,False,,,2.7943508688056475,36,90
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Seiple, Serena",Serena,Seiple,0,163,"Seiple, Serena","Seiple,Serena",SeipleSerenaCON,24,17,20,,Conn. College,CON,0,0,,0,0,0,1,2,0,1,3,0,1,02:00,0,0,0,0,0,0,1,253,176,429,.590,0.70,9,10,-1,15,,,,,,,,,,,,,,,,,,0,41,12,7,5,0.12,0,0,False,,,2.7943508688056475,37,90
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Seppenwolde, Aimee",Aimee,Seppenwolde,0,764,"Seppenwolde, Aimee","Seppenwolde,Aimee",SeppenwoldeAimeeWES,24,21,12,,Wesleyan,WES,1130-6391,0,,0,0,1,1,0,0,2,1,0,6,12:00,0,0,0,0,0,0,6,0,0,0,NaN,0,15,19,-4,32,,,,,,,,,,,,,,,,,,0,59,12,7,5,0.08,0,0,False,,,2.7943508688056475,38,90
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Hamilton,"Crowley, Grace",Grace,Crowley,0,267,"Crowley, Grace","Crowley,Grace",CrowleyGraceHAM,24,20,23,,Hamilton,HAM,0,0,,0,0,0,1,0,0,0,1,1,4,08:00,0,0,0,0,0,0,4,239,211,450,.531,0.88,17,8,9,16,,,,,,,,,,,,,,,,,,0,50,12,8,4,0.08,0,0,False,,,2.695095522178703,39,90
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Colby,Marion Legge,Marion,Legge,c,151,Marion Legge,"LEGGE,MARION",LEGGEMARIONCOLBY,26,9,10,,Colby,COLBY,0,0,,0,0,0,0,0,0,3,0,0,4,08:00,0,0,0,0,0,0,4,184,141,325,.566,0.77,14,11,3,21,,,,,,,,,,,,,,,,,,0,53,12,8,4,0.08,0,0,False,,,2.695095522178703,40,89
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Bowdoin,"Mele, Bella",Bella,Mele,0,69,"Mele, Bella","Mele,Bella",MeleBellaBOW,24,7,11,,Bowdoin,BOW,1121-4331,0,,0,0,0,0,0,0,1,1,0,18,36:00,0,0,0,0,0,0,18,0,0,0,NaN,0,22,14,8,12,,,,,,,,,,,,,,,,,,0,60,12,8,4,0.07,0,0,False,,,2.695095522178703,41,89
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Williams,"Rubinshteyn, Leah",Leah,Rubinshteyn,0,789,"Rubinshteyn, Leah","Rubinshteyn,Leah",RubinshteynLeahWIL,28,10,24,,Williams,WIL,1131-5041,0,,0,0,0,1,0,0,1,1,0,1,02:00,0,0,0,0,0,0,1,95,64,159,.597,0.67,13,8,5,18,,,,,,,,,,,,,,,,,,0,63,12,8,4,0.06,0,0,False,,,2.695095522178703,42,89
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Wesleyan,"Place, Lilly",Lilly,Place,0,764,"Place, Lilly","Place,Lilly",PlaceLillyWES,25,18,19,,Wesleyan,WES,1130-7200,0,,0,0,0,0,0,0,2,0,0,6,12:00,0,0,0,0,0,0,6,237,251,488,.486,1.06,17,12,5,10,,,,,,,,,,,,,,,,,,0,18,12,9,3,0.17,0,0,False,,,2.595840175551759,43,89
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Conn. College,"Burm, Alana",Alana,Burm,0,163,"Burm, Alana","Burm,Alana",BurmAlanaCON,24,16,4,,Conn. College,CON,0,0,,0,1,0,1,0,0,4,2,0,6,12:00,0,0,0,0,0,0,6,0,0,0,NaN,0,11,10,1,10,,,,,,,,,,,,,,,,,,0,41,11,5,6,0.15,0,0,False,,,2.4538804913132797,44,89
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Trinity,"Cassidy, Lillian",Lillian,Cassidy,0,713,"Cassidy, Lillian","Cassidy,Lillian",CassidyLillianTRI,25,17,21,,Trinity,TRI,1127-4757,0,,0,1,0,1,1,1,0,1,0,2,04:00,0,0,0,0,0,0,2,5,6,11,.455,1.20,15,22,-7,19,,,,,,,,,,,,,,,,,,0,45,11,7,4,0.09,0,0,False,,,2.255369798059391,45,88
2025-26,whockey,New England Small College Athletic Conference (NESCAC),nescac,Williams,"Noxon, Chloe",Chloe,Noxon,0,789,"Noxon, Chloe","Noxon,Chloe",NoxonChloeWIL,28,11,8,,Williams,WIL,1131-5046,0,,0,1,0,0,0,1,0,0,0,3,06:00,0,0,0,0,0,0,3,89,134,223,.399,1.51,17,13,4,22,,,,,,,,,,,,,,,,,,0,69,11,7,4,0.06,0,0,False,,,2.255369798059391,46,88
