rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
15,arc,American Rivers Conference (ARC),2025-26,Loras,"Sarvis,Gavin",0,G,24,26.375,13.08,3.83,3.04,1.21,0.54,2.2083333333333335,2.5972889565263255,1.042811491561338,0.04259798116504644,1.4041685694261696,0.9264009881615811,0.5626041721949174,1.556966490235563
16,arc,American Rivers Conference (ARC),2025-26,Wartburg,"Schramm,Cael",0,,26,26.576923076923077,11.62,7.08,0.77,0.15,1.15,1.1153846153846154,2.5658360493097194,0.7153019546336734,1.5917526078117294,-0.7849086239598596,-1.3066680604466747,2.147168465477972,-0.1877389360380182
17,arc,American Rivers Conference (ARC),2025-26,Simpson,"Cahill,Calix",0,F,16,24.5,13.13,6.69,1.75,0.94,0.69,2.25,2.560403463221992,1.0540275715931076,1.4058540526141277,0.16015553882353625,0.3576003814406103,0.9522511295596027,1.623480186838368
18,arc,American Rivers Conference (ARC),2025-26,Central,"Gott,Anthony",0,F,24,23.375,11.08,5.71,1.42,0.33,1.75,1.7083333333333333,2.516889993223698,0.5941682902905648,0.9387243498098969,-0.15808035272597468,-0.9274676559660274,3.705756294936714,0.758802131001901
19,arc,American Rivers Conference (ARC),2025-26,Coe,"Bowman,Jackson",0,F,25,32.68,14.88,5.8,0.64,0.28,0.32,1.28,2.3622529314036167,1.446590372705034,0.9816240163939588,-0.9102742782066366,-1.0328011016550962,-0.00887803193995485,0.07504132992506425
20,arc,American Rivers Conference (ARC),2025-26,Central,"Cason,Kyle",0,G,25,26.08,13.84,5.12,1.6,1.24,0.4,2.16,2.3081079455970275,1.2132959080442316,0.6574932022032683,0.015502860846485953,0.9896010555750224,0.19893367865454414,1.479810602176309
21,arc,American Rivers Conference (ARC),2025-26,Nebraska Wesleyan,"Winn,Christian",0,G,26,32.5,13.23,3.92,3.12,1.42,0.12,2.3461538461538463,2.2483078913196124,1.076459731656646,0.08549764774910837,1.4813166643472633,1.3688014600556695,-0.5284073084262023,1.7769733328448414
22,arc,American Rivers Conference (ARC),2025-26,Buena Vista,"Bryte,Adam",0,F,26,30.03846153846154,12.77,5.42,1.46,0.69,0.35,1.5,2.0322389784885266,0.973271795364368,0.8004920908168083,-0.11950630526542787,-0.16906684700473312,0.06905135953298219,0.4262336479878754
23,arc,American Rivers Conference (ARC),2025-26,Simpson,"Gurwell,Levi",0,G,25,27.36,14.16,3.0,2.64,0.92,0.04,1.92,1.948205337013732,1.2850788202475554,-0.3530322773324142,1.018428094820702,0.315467003164983,-0.7362190190207013,1.096691709744151
24,arc,American Rivers Conference (ARC),2025-26,Luther,"Kreckman,Henry",0,F,25,26.24,9.44,7.76,1.12,0.48,0.8,1.28,1.73373952224676,0.2262808652485308,1.9158834220024197,-0.44738570868007527,-0.6114673188988214,1.237992231627039,0.07504132992506425
25,arc,American Rivers Conference (ARC),2025-26,Buena Vista,"Brink,Jayden",0,G,25,30.2,14.04,3.36,2.08,1.0,0.04,2.16,1.414233196788783,1.258160228171309,-0.18143361099616628,0.4783914303730472,0.4840005162674928,-0.7362190190207013,1.479810602176309
26,arc,American Rivers Conference (ARC),2025-26,Buena Vista,"Sternberg,Kyle",0,F,26,24.692307692307693,9.65,5.96,1.58,0.96,0.77,1.8076923076923077,1.3306198797383968,0.2733884013819622,1.0578900903211803,-0.003784162883787451,0.39973375971623776,1.1600628401541018,0.9174117152085903
27,arc,American Rivers Conference (ARC),2025-26,Wartburg,"Ladwig,Luke",0,G,25,31.4,10.64,2.44,4.12,1.64,0.08,2.48,1.2763956873836386,0.4954667860109949,-0.6199635360776888,2.4456678508609326,1.8322686210875716,-0.6323131637234517,1.9906357920858522
28,arc,American Rivers Conference (ARC),2025-26,Buena Vista,"Jones,Jackson",0,G,26,27.346153846153847,10.12,4.5,1.65,0.65,0.12,1.0384615384615383,0.9131732237798682,0.3788195536805936,0.36196216573528567,0.06372042017216925,-0.2533336035559879,-0.5284073084262023,-0.3105334528431972
29,arc,American Rivers Conference (ARC),2025-26,Luther,"Palavra,Andre",0,G,25,23.16,11.64,2.28,1.44,0.96,0.0,1.04,0.8813272086971531,0.7197883866463815,-0.6962296100049102,-0.13879332899570127,0.39973375971623776,-0.8401248743179507,-0.30807756250709334
30,arc,American Rivers Conference (ARC),2025-26,Nebraska Wesleyan,"Mosser,Neal",0,G,24,19.25,8.83,1.92,1.88,1.29,0.04,0.7916666666666666,0.5142315159618434,0.08944468886094514,-0.8678282763411581,0.28552119307031315,1.0949345012640912,-0.7362190190207013,-0.7044991942598121
31,arc,American Rivers Conference (ARC),2025-26,Wartburg,"Trujillo,Gabe",0,G,26,25.307692307692307,7.5,3.73,2.31,1.23,0.27,1.3461538461538465,0.3391519579798002,-0.20890303998411897,-0.005068315039466928,0.7001922032711911,0.9685343664372087,-0.13876035106151668,0.18064461437751844
32,arc,American Rivers Conference (ARC),2025-26,Luther,"Andera,Jeremy",0,G,24,27.208333333333332,8.25,2.96,1.5,1.38,0.13,1.0833333333333333,0.1837291673348747,-0.04066183950757907,-0.37209879581421956,-0.08093225780488106,1.2845347035044146,-0.5024308446018899,-0.23890331804017617
33,arc,American Rivers Conference (ARC),2025-26,Luther,"Bockenstedt,Owen",0,F,25,24.72,7.16,5.64,0.68,0.44,0.76,0.96,0.021018868231592602,-0.28517238420015034,0.9053579424667374,-0.8717002307460898,-0.6957340754500764,1.1340863763297895,-0.4357838599844793
34,arc,American Rivers Conference (ARC),2025-26,Nebraska Wesleyan,"Townsley,Jared",0,G,26,22.884615384615383,7.69,2.88,1.12,1.35,0.04,0.7307692307692307,-0.04896912616105886,-0.16628193586339543,-0.4102318327778302,-0.44738570868007527,1.2213346360909738,-0.7362190190207013,-0.801711520063912
35,arc,American Rivers Conference (ARC),2025-26,Loras,"Kober,Kyle",0,G,27,21.51851851851852,8.59,2.7,1.22,1.04,0.04,0.8148148148148148,-0.07161038039306622,0.03560750470845233,-0.4960311659459541,-0.3509505900287085,0.5682672728187478,-0.7362190190207013,-0.667547140591587
36,arc,American Rivers Conference (ARC),2025-26,Luther,"Wunderlich,Charlie",0,G,25,27.96,10.04,3.4,0.96,0.4,0.0,0.96,-0.2745224076381685,0.36087382562976267,-0.16236709251436093,-0.6016818985222625,-0.7800008320013313,-0.8401248743179507,-0.4357838599844793
37,arc,American Rivers Conference (ARC),2025-26,Nebraska Wesleyan,"Holmon,Devin",0,F,26,21.076923076923077,6.5,3.58,1.88,0.69,0.58,1.1538461538461535,-0.3703869452800974,-0.4332246406195055,-0.07656775934623687,0.28552119307031315,-0.16906684700473312,0.6665100274921667,-0.12634167763542942
38,arc,American Rivers Conference (ARC),2025-26,Central,"Thomsen,Braylon",0,G,25,22.24,11.2,3.76,0.68,0.4,0.24,1.64,-0.37967531723985276,0.6210868823668111,0.009231573821886977,-0.8717002307460898,-0.7800008320013313,-0.21668974253445386,0.6497196685733004
39,arc,American Rivers Conference (ARC),2025-26,Univ. of Dubuque,"Hibicke,Dylan",0,F,26,24.03846153846154,6.19,4.23,0.54,0.35,0.65,0.3076923076923077,-0.38377044696549034,-0.5027643368164753,0.2332631659830999,-1.0067093968580036,-0.8853342776904001,0.8483452742623534,-1.4770813624923949
40,arc,American Rivers Conference (ARC),2025-26,Coe,"Walters,Deuce",0,G,26,27.576923076923077,10.12,2.62,2.04,0.85,0.08,2.0,-0.5200785646755701,0.3788195536805936,-0.5341642029095648,0.4398173829125004,0.1680001792002867,-0.6323131637234517,1.224398007221537
41,arc,American Rivers Conference (ARC),2025-26,Univ. of Dubuque,"Coppola IV,Joey",0,G,25,20.56,7.16,2.04,1.32,1.16,0.36,1.04,-0.611435970070881,-0.28517238420015034,-0.8106287208957421,-0.2545154713773415,0.8210675424725123,0.09502782335729458,-0.30807756250709334
42,arc,American Rivers Conference (ARC),2025-26,Wartburg,"Wemark,Drake",0,G,26,18.153846153846153,5.19,3.73,1.77,1.27,0.08,0.8846153846153846,-0.6769679328483342,-0.7270859374518618,-0.005068315039466928,0.17944256255380966,1.0528011229884637,-0.6323131637234517,-0.5561224864535544
43,arc,American Rivers Conference (ARC),2025-26,Loras,"Kurt,Dylan",0,G,20,17.15,7.7,2.5,1.8,0.85,0.2,1.25,-0.6941897858706599,-0.16403871985704163,-0.5913637583549808,0.20837309814921975,0.1680001792002867,-0.32059559783170327,0.027151468371044506
44,arc,American Rivers Conference (ARC),2025-26,Central,"Uecker,Grant",0,G,18,24.055555555555557,8.67,3.61,3.17,0.5,0.06,2.2777777777777777,-0.8268652242396146,0.05355323275928327,-0.06226787048488297,1.5295342236729466,-0.569333940623194,-0.6842660913720765,1.6678226512402379
45,arc,American Rivers Conference (ARC),2025-26,Simpson,"Huston,Bo",0,G,25,18.88,7.16,3.72,1.36,0.96,0.12,1.4,-1.0060056216718962,-0.28517238420015034,-0.009834944659918158,-0.21594142391679466,0.39973375971623776,-0.5284073084262023,0.26660077614114286
46,arc,American Rivers Conference (ARC),2025-26,Univ. of Dubuque,"Henderson,Ethan",0,G,27,17.40740740740741,8.15,3.67,0.52,0.56,0.3,1.2222222222222223,-1.1060827443553367,-0.06309399957111764,-0.033668092762174945,-1.025996420588277,-0.4429338057963115,-0.06083095958857964,-0.01719099603082543
