conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Rothstein-Epp,Cameron",Cameron,Rothstein-Epp,0,G,18,91.0,5.055555555555555,36.0,2.0,10.0,0.56,0.0,0.0,2.0,0.11,0.0,0.0,1.0,0.0555555555555555,10.0,29.0,0.34,6.0,16.0,0.38,10.0,13.0,0.77
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Bowie,Jalen",Jalen,Bowie,0,G,27,927.0,34.333333333333336,419.0,15.52,212.0,7.85,71.0,2.63,44.0,1.63,24.0,0.89,67.0,2.4814814814814814,164.0,345.0,0.48,10.0,53.0,0.19,81.0,126.0,0.64
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Plater,Mason",Mason,Plater,0,F,10,27.0,2.7,6.0,0.6,3.0,0.3,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Renigar,Quinton",Quinton,Renigar,0,G,9,104.0,11.555555555555555,14.0,1.56,13.0,1.44,4.0,0.44,0.0,0.0,1.0,0.11,5.0,0.5555555555555556,4.0,22.0,0.18,3.0,17.0,0.18,3.0,3.0,1.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Blake Jr.,Travis",Travis,Blake Jr.,0,F,27,274.0,10.148148148148149,54.0,2.0,42.0,1.56,3.0,0.11,11.0,0.41,4.0,0.15,13.0,0.4814814814814814,23.0,72.0,0.32,2.0,18.0,0.11,6.0,9.0,0.67
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Chase,Richard",Richard,Chase,0,G,20,137.0,6.85,52.0,2.6,14.0,0.7,1.0,0.05,4.0,0.2,2.0,0.1,4.0,0.2,13.0,32.0,0.41,2.0,8.0,0.25,24.0,35.0,0.69
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Salvatierra,Ethan",Ethan,Salvatierra,0,G,15,81.0,5.4,13.0,0.87,7.0,0.47,9.0,0.6,3.0,0.2,0.0,0.0,7.0,0.4666666666666667,3.0,18.0,0.17,0.0,4.0,0.0,7.0,10.0,0.7
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Jones,Armani",Armani,Jones,0,F,27,869.0,32.18518518518518,438.0,16.22,211.0,7.81,45.0,1.67,20.0,0.74,19.0,0.7,64.0,2.3703703703703702,158.0,334.0,0.47,29.0,97.0,0.3,93.0,132.0,0.7
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Raford,Winston",Winston,Raford,0,G,27,820.0,30.37037037037037,263.0,9.74,50.0,1.85,27.0,1.0,23.0,0.85,5.0,0.19,24.0,0.8888888888888888,86.0,246.0,0.35,46.0,153.0,0.3,45.0,65.0,0.69
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Wilson College,"Francis,Malakai",Malakai,Francis,0,,2,4.0,2.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Keystone College,"Rivera,Derek",Derek,Rivera,0,G,11,66.0,6.0,5.0,0.45,4.0,0.36,2.0,0.18,1.0,0.09,0.0,0.0,4.0,0.3636363636363636,2.0,13.0,0.15,1.0,11.0,0.09,0.0,0.0,0.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Keystone College,"Golding,Jden",Jden,Golding,0,G,27,919.0,34.03703703703704,464.0,17.19,166.0,6.15,83.0,3.07,35.0,1.3,4.0,0.15,83.0,3.074074074074074,171.0,382.0,0.45,18.0,62.0,0.29,104.0,151.0,0.69
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Keystone College,"Patton,Conor",Conor,Patton,0,F,26,244.0,9.384615384615383,66.0,2.54,54.0,2.08,10.0,0.38,11.0,0.42,7.0,0.27,12.0,0.4615384615384615,25.0,36.0,0.69,2.0,5.0,0.4,14.0,20.0,0.7
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Keystone College,"Jones,Ahmodrion",Ahmodrion,Jones,0,G,27,882.0,32.666666666666664,356.0,13.19,162.0,6.0,76.0,2.81,23.0,0.85,11.0,0.41,71.0,2.6296296296296298,124.0,343.0,0.36,23.0,100.0,0.23,85.0,115.0,0.74
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Keystone College,"Maxwell-Lawus,Jeramiah",Jeramiah,Maxwell-Lawus,0,F,26,272.0,10.461538461538462,55.0,2.12,63.0,2.42,15.0,0.58,13.0,0.5,10.0,0.38,19.0,0.7307692307692307,23.0,58.0,0.4,0.0,6.0,0.0,9.0,24.0,0.38
