season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Judie, Justyn",Justyn,Judie,,8530,"Judie, Justyn","JUDIE,JUSTYN",McMurry,MCU,643-5970,3,2,11,0,11,0,0,1,2,2,0,1,0,0,.67,.33,.67,.333,.000,0,0,0,0,1,1,1,.333,3,0,1,0,1.00,.33,.00,.00,0,,184:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Alkoofee, Mustafa",Mustafa,Alkoofee,,8530,"Alkoofee, Mustafa","ALKOOFEE,MUSTAFA",McMurry,MCU,643-6341,3,1,12,0,12,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,107:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Batanndji, Samweli",Samweli,Batanndji,,8530,"Batanndji, Samweli","BATANNDJI,SAMWELI",McMurry,MCU,643-6342,3,1,13,0,13,0,0,1,1,0,0,0,0,0,.33,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,142:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Moreno, Audrick",Audrick,Moreno,,8530,"Moreno, Audrick","MORENO,AUDRICK",McMurry,MCU,643-6349,3,2,14,0,14,0,0,4,4,4,0,2,0,0,1.33,1.33,1.33,.667,.000,2,1,0,0,0,2,0,.000,10,0,1,0,3.33,.33,.00,.00,0,,160:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Canas, Cristian",Cristian,Canas,,8530,"Canas, Cristian","CANAS,CRISTIAN",McMurry,MCU,643-5962,3,2,15,0,15,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,144:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Rocha, Johnny",Johnny,Rocha,,8530,"Rocha, Johnny","ROCHA,JOHNNY",McMurry,MCU,643-5237,3,1,16,0,16,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,1,0,1.00,.33,.00,.00,0,,77:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Ibrahim, Arsany",Arsany,Ibrahim,,8530,"Ibrahim, Arsany","IBRAHIM,ARSANY",McMurry,MCU,643-5963,3,2,17,0,17,0,0,0,3,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,153:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Kesetovic, Tarik",Tarik,Kesetovic,,8530,"Kesetovic, Tarik","KESETOVIC,TARIK",McMurry,MCU,643-5964,3,2,18,0,18,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,158:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Fernandez, Andrew",Andrew,Fernandez,,8530,"Fernandez, Andrew","FERNANDEZ,ANDREW",McMurry,MCU,643-6344,1,0,19,0,19,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,15:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,American Southwest Conference (ASC),asc,McMurry,"Gonzalez, Pavel",Pavel,Gonzalez,,8530,"Gonzalez, Pavel","GONZALEZ,PAVEL",McMurry,MCU,643-6345,2,1,20,0,20,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,126:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
