season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Mauro, Maya",Maya,Mauro,,611,"Mauro, Maya","MAURO, MAYA",St. Mary's (Md.),SMCMU,659-3868,10,4,20,0,20,0,.153,72,10,21,4,0,12,0,2,3,28,0,0,40,3,19,2,1,1,1,24.5,0,2.10,0.40,1.90,0.20,0.20,2.45,,,,,,,3.8359362662012546,30,91
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Berks,"Caris, Madelyn",Madelyn,Caris,,30044,"Caris, Madelyn","CARIS, MADELYN",Penn State Berks,PSB,1243-2022,11,4,8,0,8,0,.090,67,14,20,0,1,11,0,3,2,34,0,0,53,5,22,3,0,3,0,24.5,0,1.82,0.00,2.00,0.27,0.27,2.23,,,,,,,3.7982595748398715,31,91
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Medina, Fabiola",Fabiola,Medina,,30114,"Medina, Fabiola","MEDINA, FABIOLA",Penn State Abington,PSA,0,10,0,1,0,1,0,-.250,4,1,0,5,1,38,0,14,5,57,0,0,56,3,45,0,0,0,0,14,0,0.00,0.50,4.50,0.00,1.40,1.40,,,,,,,3.7457404371750123,32,91
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Gallaudet University,"Eilderts, Bri",Bri,Eilderts,,245,"Eilderts, Bri","EILDERTS, BRI",Gallaudet University,Gal,141-2477,6,2,4,0,4,0,.273,22,4,10,2,1,10,0,2,3,16,0,0,0,0,3,2,0,0,2,14,0,1.67,0.33,0.50,0.33,0.33,2.33,,,,,,,3.6439114490916653,33,91
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn College,"Maass, Peyton",Peyton,Maass,,30190,"Maass, Peyton","MAASS, PEYTON",Penn College,PCT,2220-2101,15,5,13,0,13,0,.060,100,17,23,4,0,30,0,5,8,47,0,0,106,10,41,3,2,3,0,29.5,0,1.53,0.27,2.73,0.20,0.33,1.97,,,,,,,3.5734131175923616,34,90
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,"Weeks, Jessie",Jessie,Weeks,,30114,"Weeks, Jessie","WEEKS, JESSIE",Penn State Abington,PSA,0,9,6,4,0,4,0,.450,40,5,23,1,0,4,0,0,0,0,0,0,0,0,2,1,0,1,0,23.5,0,2.56,0.11,0.22,0.11,0.00,2.61,,,,,,,3.3673339831738485,35,90
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn College,"Stockum, Lilly",Lilly,Stockum,,30190,"Stockum, Lilly","STOCKUM, LILLY",Penn College,PCT,2220-1918,12,3,18,0,18,0,.111,72,16,24,0,0,5,0,4,9,27,0,0,12,4,5,3,1,3,0,29.5,0,2.00,0.00,0.42,0.25,0.33,2.46,,,,,,,3.183283916238629,36,90
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Cairn University,"Magazzu, Liliana",Liliana,Magazzu,,1305,"Magazzu, Liliana","MAGAZZU, LILIANA",Cairn University,Cairn,1236-2194,6,0,3,0,3,0,.167,6,0,1,9,2,35,0,4,2,18,0,0,38,3,28,0,0,0,0,5,0,0.17,1.50,4.67,0.00,0.67,0.83,,,,,,,3.175433020769896,37,90
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Brandywine,"Rizer, Morgan",Morgan,Rizer,,30189,"Rizer, Morgan","RIZER, MORGAN",Penn State Brandywine,F-30189,0,12,3,9,0,9,0,.222,45,6,16,0,0,3,0,1,5,16,0,0,0,0,3,7,2,6,1,21,0,1.33,0.00,0.25,0.58,0.08,1.75,,,,,,,3.133171487842406,38,90
2026-27,wvball,North Eastern Athletic Conference,north_eastern_athletic_c,Notre Dame of Maryland,"Johnson, Aleah",Aleah,Johnson,,8600,"Johnson, Aleah","JOHNSON, ALEAH",Notre Dame of Maryland,NDMU,48-832,3,0,3,0,3,0,.167,12,3,5,5,0,15,0,2,1,4,0,0,0,0,3,0,1,0,0,7.0,0,1.67,1.67,1.00,0.00,0.67,2.33,,,,,,,3.1298323534032626,39,89
