rank,conference_code,conference,season,team,player_name,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
69,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Oswego,P Emling,22,10.8,3.5,2.2,0.7,0.8,0.1,0.4,-2.601366073859855,-1.0906057447323336,-0.7548954635721623,-0.8522963161517991,-0.1520159399991769,-0.5868679212225546,-1.3429019900280637
70,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Plattsburgh,C Hartig,26,14.4,3.2,3.3,0.4,0.4,0.3,0.5,-2.80619253426903,-1.1589839420934374,-0.2366580843709535,-1.1723726619555312,-0.9098925104298548,-0.029181277850845393,-1.2095422081084175
71,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,J Douglas,24,12.4,4.9,2.6,0.4,0.2,0.5,1.1,-2.8128436011689315,-0.7715074903805156,-0.5664455074989955,-1.1723726619555312,-1.2888307956451936,0.5285053655208638,-0.409383516590541
72,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,B Ozen,23,13.8,4.5,2.6,0.3,0.1,0.4,0.7,-2.8772748714899743,-0.8626784201953208,-0.5664455074989955,-1.2790647772234423,-1.4782999382528632,0.2496620438350093,-0.9428226442691254
73,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,W Beard,22,12.4,4.3,1.9,0.5,0.6,0.1,0.6,-2.8878323365932257,-0.9082638851027234,-0.8962329306270377,-1.0656805466876207,-0.530954225214516,-0.5868679212225546,-1.0761824261887714
74,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,R Skvorc,19,15.7,4.7,1.9,0.4,0.4,0.1,0.6,-2.9696441002588223,-0.8170929552879183,-0.8962329306270377,-1.1723726619555312,-0.9098925104298548,-0.5868679212225546,-1.0761824261887714
75,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,J Noelizaire,26,15.9,3.6,2.8,1.0,0.6,0.3,1.3,-3.004670963756281,-1.0678130122786322,-0.47222052946241216,-0.5322199703480668,-0.530954225214516,-0.029181277850845393,-0.142663952751249
76,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,C Nastasi,21,16.3,5.1,2.2,0.7,0.6,0.0,1.3,-3.1610798686134625,-0.7259220254731132,-0.7548954635721623,-0.8522963161517991,-0.530954225214516,-0.8657112429084092,-0.142663952751249
77,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,A Andrews,21,12.3,3.6,2.3,0.5,0.2,0.3,0.7,-3.281798410759028,-1.0678130122786322,-0.7077829745538707,-1.0656805466876207,-1.2888307956451936,-0.029181277850845393,-0.9428226442691254
78,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,A Webb,25,14.6,3.8,3.3,0.4,0.2,0.2,0.9,-3.288321850418079,-1.0222275473712297,-0.2366580843709535,-1.1723726619555312,-1.2888307956451936,-0.3080245995366999,-0.6761030804298332
79,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,New Paltz,A Leonard,25,13.2,4.4,1.4,0.5,0.6,0.0,0.8,-3.3599378951642054,-0.885471152649022,-1.1317953757184962,-1.0656805466876207,-0.530954225214516,-0.8657112429084092,-0.8094628623494793
80,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Buffalo State,M Scott,23,10.0,4.7,0.8,0.7,0.2,0.0,0.6,-3.4372476270876526,-0.8170929552879183,-1.4144703098282465,-0.8522963161517991,-1.2888307956451936,-0.8657112429084092,-1.0761824261887714
81,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Cortland,G Pacheco,23,11.9,4.0,1.3,0.6,0.5,0.1,0.9,-3.562574752415706,-0.9766420824638271,-1.1789078647367879,-0.9589884314197099,-0.7204233678221853,-0.5868679212225546,-0.6761030804298332
82,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,J Sidle,24,10.0,2.9,1.2,0.7,0.5,0.0,0.6,-3.8416673122581773,-1.227362139454541,-1.2260203537550798,-0.8522963161517991,-0.7204233678221853,-0.8657112429084092,-1.0761824261887714
83,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,K Laditan,25,14.9,2.0,3.7,0.8,0.4,0.2,1.4,-4.022177311820872,-1.4324967315378525,-0.04820812829778642,-0.7456042008838883,-0.9098925104298548,-0.3080245995366999,-0.009304170831603112
84,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Potsdam,C Bastedo,16,11.3,2.0,1.2,1.0,0.5,0.0,0.6,-4.027883054362187,-1.4324967315378525,-1.2260203537550798,-0.5322199703480668,-0.7204233678221853,-0.8657112429084092,-1.0761824261887714
85,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Canton,J Francois,23,11.7,2.6,1.5,0.4,0.4,0.0,0.6,-4.198275493408419,-1.295740336815645,-1.0846828867002045,-1.1723726619555312,-0.9098925104298548,-0.8657112429084092,-1.0761824261887714
86,sunyac,State University of New York Athletic Conference (SUNYAC),2025-26,Fredonia,M MacDonald,25,13.9,2.3,1.7,1.4,0.1,0.0,1.1,-4.339872438219732,-1.3641185341767488,-0.9904579086636212,-0.10545150927642385,-1.4782999382528632,-0.8657112429084092,-0.409383516590541
