season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rowan,"Rabinowitz, Gabby",Gabby,Rabinowitz,,259,"Rabinowitz, Gabby","RABINOWITZ,GABBY",Rowan,ROW,1154-5295,1,0,29,0,29,0,0,0,1,0,0,0,0,0,1.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,08:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,243,58
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,"Ramirez, Daniela",Daniela,Ramirez,,588,"Ramirez, Daniela","RAMIREZ,DANIELA",Rutgers-Camden,RUT,1155-5439,1,0,27,0,27,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,12:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,244,58
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Kean,"Reisbord, Elizabeth",Elizabeth,Reisbord,,329,"Reisbord, Elizabeth","REISBORD,ELIZABETH",Kean,Kean,1148-7338,2,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,41:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,245,58
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,William Paterson,"Reynolds, Ireland",Ireland,Reynolds,,787,"Reynolds, Ireland","REYNOLDS,IRELAND",William Paterson,WPU,1164-3076,1,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,09:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,246,58
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,"Ritter, Sandy",Sandy,Ritter,,588,"Ritter, Sandy","RITTER,SANDY",Rutgers-Camden,RUT,1155-5044,0,0,16,0,16,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,247,58
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,William Paterson,"Rivera, Bianca",Bianca,Rivera,,787,"Rivera, Bianca","RIVERA,BIANCA",William Paterson,WPU,1164-3232,1,0,23,0,23,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,09:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,248,58
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Rizzi, Samantha",Samantha,Rizzi,,712,"Rizzi, Samantha","RIZZI,SAMANTHA",TCNJ,TCN,1163-5528,2,0,9,0,9,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,53:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,249,57
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Rodriguez, Melanie",Melanie,Rodriguez,,589,"Rodriguez, Melanie","RODRIGUEZ,MELANIE",Rutgers-Newark,RUN,1161-2640,1,0,25,0,25,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,10:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,250,57
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,New Paltz,"Rutigliano, Chiara",Chiara,Rutigliano,,475,"Rutigliano, Chiara","RUTIGLIANO,CHIARA",New Paltz,PALTZ,1182-8645,2,0,11,0,11,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,100:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,251,57
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rowan,"Saladino, Sophia",Sophia,Saladino,,259,"Saladino, Sophia","SALADINO,SOPHIA",Rowan,ROW,1154-5034,1,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,18:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,-1.3538754500076648,252,57
