conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Haukoos,Olivia",0,G,03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Beaver,Natalie",0,F,05,24,24,144,316,39,122,79,63,390,20,33,32,708,54,138,192,47,0,57,3,0,0.46,0.32,0.80,16.25,8.00,1.33,1.38,0.83
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Schradle,Sydney",0,F,11,17,0,9,21,1,1,7,5,24,2,4,1,137,6,15,21,13,0,7,0,0,0.43,1.00,0.71,1.41,1.24,0.06,0.24,0.12
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Foster,Renae",0,G,14,2,0,0,1,0,1,0,0,0,0,0,1,3,1,2,3,1,0,1,0,0,0.00,0.00,0.00,0.00,1.50,0.50,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Northrop,Lyndee",0,F,15,15,0,16,35,1,2,16,10,43,5,5,5,123,11,24,35,11,0,12,0,0,0.46,0.50,0.63,2.87,2.33,0.33,0.33,0.33
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Hicks,Piper",0,F,20,3,0,1,1,1,1,0,0,3,1,0,0,5,0,1,1,0,0,1,0,0,1.00,1.00,0.00,1.00,0.33,0.00,0.00,0.33
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Anderson,Abby",0,F,21,26,1,40,93,1,2,61,38,119,5,17,14,410,29,33,62,28,0,37,0,0,0.43,0.50,0.62,4.58,2.38,0.54,0.65,0.19
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"McMann,Ellie",0,G,22,27,21,33,119,9,40,34,27,102,6,39,68,650,22,69,91,74,0,77,3,0,0.28,0.23,0.79,3.78,3.37,2.52,1.44,0.22
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Okerman,Cadence",0,G,23,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Toso,Imani",0,G,24,2,0,0,4,0,3,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Pavlos,Faith",0,G,25,4,0,0,0,0,0,0,0,0,0,0,1,8,0,2,2,2,0,0,0,0,0.00,0.00,0.00,0.00,0.50,0.25,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Holien,Kenai",0,G,30,26,4,24,71,6,30,17,12,66,2,7,15,319,6,19,25,26,0,26,0,0,0.34,0.20,0.71,2.54,0.96,0.58,0.27,0.08
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Panka,Abigail",0,F,32,27,27,84,228,10,40,76,52,230,9,19,21,606,51,98,149,53,0,40,2,0,0.37,0.25,0.68,8.52,5.52,0.78,0.70,0.33
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Cicala,Nastya",0,G,33,16,2,5,23,5,21,2,2,17,0,0,3,87,1,6,7,3,0,9,0,0,0.22,0.24,1.00,1.06,0.44,0.19,0.00,0.00
arc,American Rivers Conference (ARC),2025-26,wbball,Luther,"Popejoy,Kadence",0,F,34,4,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
