rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
11,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Eau Claire,"Lichtsinn,Carter",0,F,25,32.88,11.28,7.44,1.48,1.0,0.08,1.24,3.0290875720928416,0.6755245289341861,2.285610157961425,0.21426321711170682,0.7198368203434768,-0.5783023206638273,0.17830012270818438
12,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-River Falls,"Leifker,Jack",0,C,23,25.043478260869566,13.52,5.61,1.04,0.26,0.96,1.391304347826087,2.951729486012078,1.1510466979652065,1.252274647782212,-0.2693678475043212,-1.173572825583678,1.7835759691760613,0.42925030238631284
13,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Platteville,"Fuhremann,Joey",0,F,26,24.884615384615383,12.69,7.27,1.08,0.73,0.31,1.5384615384615383,2.819993396691995,0.9748487514046053,2.1896172417152684,-0.22540138708468224,0.028998165748433835,0.03900677781705273,0.6733220951767118
14,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-River Falls,"Ralph,Gavin",0,G,25,31.16,8.96,5.04,1.72,1.28,0.52,0.92,2.6533789946314914,0.18301942529491522,0.9304160462509814,0.4780619796295403,1.4362620917753735,0.6026368242561171,-0.35244508488693793
15,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Platteville,"Lewis,Bristol",0,G,27,33.7037037037037,14.96,3.59,1.67,0.59,0.26,1.4814814814814814,2.6125532238235323,1.4567395209137202,0.11165293709258822,0.4231039041049916,-0.3292144699675144,-0.09519085228748637,0.5788161821433924
16,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Eau Claire,"Renta,Andre",0,G,25,25.56,13.64,3.24,3.28,0.8,0.16,2.24,2.280540347080258,1.176521099877583,-0.0859795375318513,2.1927539359954578,0.2081044836064081,-0.36358611249656464,1.836878896442942
17,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Platteville,"Love,Max",0,F,27,26.14814814814815,12.37,4.67,1.96,1.11,0.67,2.4444444444444446,2.1006665167340737,0.9069170129716023,0.7214902873622879,0.7418607421473737,1.001289605548865,1.0052297145697346,2.1759661124064924
18,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-River Falls,"Thompson,Micah",0,F,24,30.791666666666668,10.75,7.63,1.38,0.96,0.25,2.0833333333333335,1.8601976479807312,0.5630125871545252,2.392896358471835,0.10434706606260942,0.617490352996063,-0.12203037830839422,1.57703488855783
19,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Oshkosh,"LaChapell,Joey",0,G,26,22.115384615384617,12.35,2.19,3.31,0.81,0.08,1.8076923076923077,1.8199431950549907,0.9026712793195397,-0.6788769614051706,2.2257287813101874,0.23369110044326155,-0.5783023206638273,1.1198625342591466
20,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Eau Claire,"Lewis,Xavier",0,F,25,23.84,11.28,6.16,1.08,0.48,0.52,1.6,1.6629300619829759,0.6755245289341861,1.5628399650491887,-0.22540138708468224,-0.6106672551729022,0.6026368242561171,0.7753884812526972
21,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Whitewater,"Verges,Isaac",0,G,25,22.84,10.04,4.44,1.88,1.2,0.16,1.52,1.6162896015634831,0.4122890425062997,0.5916175183233707,0.6539278213080959,1.2315691570805456,-0.36358611249656464,0.6427021793539165
22,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stevens Point,"Combs,Carter",0,G,26,32.69230769230769,6.12,5.92,3.19,1.15,0.08,1.4230769230769231,1.5021642402434514,-0.4198747532979859,1.4273205538781442,2.0938294000512703,1.1036360728962782,-0.5783023206638273,0.48194762128424007
23,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stout,"Shore,Aidan",0,C,25,19.96,6.48,5.32,0.76,0.32,2.44,1.68,1.3124956950671518,-0.34345154756085755,1.0885220259505333,-0.5771330704417936,-1.0200531245625573,5.75582582027042,0.9080747831514776
24,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stevens Point,"Baumgartner,Logan",0,G,26,24.115384615384617,10.96,3.69,1.38,1.12,0.42,1.7307692307692308,1.2926473300209393,0.6075927905011835,0.16811935841385675,0.10434706606260942,1.0268762223857184,0.3342415640470388,0.9922795516641655
25,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Whitewater,"Warren,Richie",0,F,27,21.37037037037037,7.96,4.96,1.04,0.74,0.78,1.0,1.2259096966493432,-0.02926725730821912,0.8852429091939666,-0.2693678475043212,0.0545847825852873,1.3004645007997206,-0.21975878298815738
26,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Oshkosh,"Thomas,Carter",0,G,26,21.692307692307693,10.85,2.92,1.08,0.85,0.31,1.0,1.187360279032852,0.5842412554148385,-0.26667208575991064,-0.22540138708468224,0.3360375677906751,0.03900677781705273,-0.21975878298815738
27,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stout,"Mboga,Wesley",0,G,26,30.076923076923077,9.19,4.92,0.69,0.81,0.08,0.5769230769230769,1.174564639427941,0.23184536229363578,0.8626563406654592,-0.6540743761761618,0.23369110044326155,-0.5783023206638273,-0.9214651872605548
28,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-River Falls,"Wanguhu,Jeremy",0,G,14,28.857142857142858,10.29,2.93,3.21,1.14,0.21,2.357142857142857,1.0284673015553984,0.46536071315708327,-0.2610254436277836,2.11581263026109,1.078049456059425,-0.22938848239202556,2.031169552794728
29,wiac,Wisconsin Intercollegiate Athletic Conference (WIAC),2025-26,UW-Stout,"Schwarzenberger,Domanyck",0,G,26,24.46153846153846,12.77,2.73,1.23,0.65,0.12,1.5384615384615383,0.8175463903740978,0.991831686012856,-0.37395828627032074,-0.060527160511036404,-0.1756947689463936,-0.470944216580196,0.6733220951767118
