conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,goal_stats_hat_tricks,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_misc10,penalty_stats_miscgame,penalty_stats_miscgross,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_total_faceoffs,misc_stats_faceoff_win_pct,misc_stats_faceoffs_won_pct,misc_stats_plus,misc_stats_minus,misc_stats_plusminus,misc_stats_blocks,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_pct,shot_stats_penalty_shot_goals,shot_stats_penalty_shots_attempted,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_saves_by_prd,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_save_pct,goalie_stats_games_started,goalie_stats_penalty_shot_goals_allowed,goalie_stats_shootout_goals_allowed,goalie_stats_goals_against_avg,composite_score,global_rank,rating
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Kerr, Sarah",,0,1,6,6,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,355:58,12.0,137.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.919,5.0,0.0,0.0,2.02,,31,90
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Sheppard, Emma",,0,30,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32,90
ccc,Conference of New England (CCC),2025-26,whky,Curry College,"Hoag, Coriann",,0,31,20,20,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,04:00,0,0,0,0,0,0,2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1207:45,41.0,540.0,1110611106.0,0.0,1.0,1.0,1.0,13.0,1.0,0.0,0.929,17.0,0.0,0.0,2.04,,33,90
ccc,Conference of New England (CCC),2025-26,whky,Endicott College,"Corso, Lilly",,0,2,26,7,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,13,26:00,0,0,0,0,0,0,13,3.0,2.0,5.0,0.6,0.67,26.0,9.0,17.0,20.0,0.0,90.0,18.0,9.0,9.0,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,,34,90
ccc,Conference of New England (CCC),2025-26,whky,Endicott College,"Tewsbury, Lilly",,0,4,16,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,06:00,0,0,0,0,0,0,3,0.0,0.0,0.0,,0.0,2.0,3.0,-1.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,35,89
ccc,Conference of New England (CCC),2025-26,whky,Endicott College,"Perkins, Riley",,0,7,15,0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,04:00,0,0,0,0,0,0,2,0.0,3.0,3.0,0.0,0.0,8.0,1.0,7.0,6.0,0.0,31.0,5.0,4.0,1.0,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,,36,89
ccc,Conference of New England (CCC),2025-26,whky,Endicott College,"Carrigan, Julia",,0,8,25,0,0.0,,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1,02:00,0,0,0,0,0,0,1,23.0,22.0,45.0,0.511,0.96,10.0,9.0,1.0,18.0,0.0,53.0,7.0,2.0,5.0,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,37,89
ccc,Conference of New England (CCC),2025-26,whky,Endicott College,"Rago, Ella",,0,9,26,9,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,4,08:00,0,0,0,0,0,0,4,63.0,45.0,108.0,0.583,0.71,17.0,5.0,12.0,8.0,0.0,88.0,18.0,10.0,8.0,0.09,0.0,0.0,,,,,,,,,,,,,,,,,,,38,89
ccc,Conference of New England (CCC),2025-26,whky,Endicott College,"Anderson, Lily",,0,10,26,13,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9,18:00,0,0,0,0,0,0,9,82.0,43.0,125.0,0.656,0.52,18.0,12.0,6.0,9.0,0.0,98.0,15.0,13.0,2.0,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,39,89
ccc,Conference of New England (CCC),2025-26,whky,Endicott College,"Hydon, Kenzie",,0,11,9,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,0.0,1.0,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,,40,89
